year,F,M
1880,9,0
1881,7,0
1882,17,0
1883,15,0
1884,11,0
1885,13,0
1886,8,0
1887,17,0
1888,21,0
1889,29,0
1890,23,0
1891,28,0
1892,23,0
1893,32,0
1894,35,0
1895,34,0
1896,28,0
1897,29,0
1898,39,0
1899,36,0
1900,38,0
1901,35,0
1902,33,0
1903,28,0
1904,41,0
1905,36,0
1906,44,0
1907,38,0
1908,35,0
1909,49,0
1910,55,0
1911,63,0
1912,65,0
1913,61,0
1914,74,0
1915,116,0
1916,154,0
1917,138,0
1918,163,0
1919,151,0
1920,161,0
1921,157,0
1922,120,0
1923,121,0
1924,130,0
1925,113,0
1926,111,0
1927,118,0
1928,110,0
1929,105,0
1930,110,0
1931,81,0
1932,101,0
1933,78,0
1934,68,0
1935,86,0
1936,71,0
1937,57,0
1938,75,0
1939,78,0
1940,83,0
1941,90,0
1942,95,0
1943,71,0
1944,100,0
1945,110,0
1946,122,0
1947,119,0
1948,142,0
1949,111,0
1950,122,0
1951,125,0
1952,106,0
1953,129,0
1954,121,0
1955,120,0
1956,127,0
1957,121,0
1958,105,0
1959,105,0
1960,111,0
1961,100,0
1962,108,0
1963,109,0
1964,99,0
1965,91,0
1966,79,0
1967,64,0
1968,70,0
1969,72,0
1970,94,0
1971,76,0
1972,72,0
1973,78,0
1974,85,0
1975,70,0
1976,80,0
1977,74,0
1978,76,0
1979,86,0
1980,77,0
1981,81,0
1982,63,0
1983,69,0
1984,63,0
1985,62,0
1986,75,0
1987,72,0
1988,57,0
1989,85,0
1990,93,0
1991,105,0
1992,85,0
1993,97,0
1994,107,0
1995,97,0
1996,95,0
1997,107,0
1998,152,0
1999,112,0
2000,126,0
2001,119,0
2002,135,0
2003,119,0
2004,120,0
2005,149,0
2006,141,0
2007,143,0
2008,150,0
2009,165,0
2010,128,0
2011,152,0
2012,210,0
2013,209,0
2014,184,0
2015,227,0
2016,202,0
2017,184,0
2018,188,0
2019,192,0
