year,Girls,Boys
1880,0,7
1881,0,0
1882,0,0
1883,0,0
1884,0,5
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,5
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,6
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,5
1912,0,5
1913,0,6
1914,0,10
1915,0,14
1916,0,15
1917,0,13
1918,0,18
1919,0,10
1920,0,12
1921,0,14
1922,0,15
1923,0,10
1924,0,16
1925,0,17
1926,0,15
1927,0,10
1928,0,11
1929,0,11
1930,0,11
1931,0,0
1932,0,13
1933,0,8
1934,0,12
1935,0,13
1936,0,14
1937,0,6
1938,0,14
1939,0,13
1940,0,14
1941,0,6
1942,0,6
1943,0,8
1944,0,12
1945,0,13
1946,0,10
1947,0,14
1948,0,0
1949,0,14
1950,0,7
1951,0,10
1952,0,7
1953,0,5
1954,0,5
1955,0,0
1956,0,9
1957,0,12
1958,0,12
1959,0,16
1960,0,9
1961,0,12
1962,0,11
1963,0,14
1964,0,9
1965,0,0
1966,0,7
1967,0,15
1968,0,13
1969,0,9
1970,0,24
1971,0,9
1972,0,10
1973,0,12
1974,0,12
1975,0,15
1976,0,20
1977,0,23
1978,0,22
1979,0,25
1980,0,25
1981,0,14
1982,0,23
1983,0,17
1984,0,13
1985,0,28
1986,0,17
1987,6,16
1988,0,15
1989,0,16
1990,7,23
1991,7,26
1992,8,35
1993,7,31
1994,9,53
1995,11,48
1996,9,55
1997,10,61
1998,9,88
1999,9,118
2000,16,180
2001,35,325
2002,29,515
2003,25,919
2004,39,1035
2005,29,1199
2006,24,1405
2007,41,1315
2008,35,1390
2009,31,1371
2010,17,1172
2011,29,1207
2012,30,1152
2013,17,1109
2014,23,1000
2015,15,870
2016,21,699
2017,16,581
2018,12,551
2019,11,440
