year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,10
1953,0,10
1954,0,11
1955,0,5
1956,0,0
1957,0,8
1958,0,7
1959,0,0
1960,0,6
1961,0,0
1962,0,0
1963,0,0
1964,0,5
1965,0,0
1966,0,6
1967,0,9
1968,0,5
1969,0,9
1970,0,8
1971,0,10
1972,0,12
1973,0,14
1974,0,12
1975,0,21
1976,0,24
1977,9,21
1978,6,37
1979,9,41
1980,12,33
1981,16,45
1982,15,47
1983,22,46
1984,17,50
1985,14,42
1986,16,48
1987,12,58
1988,5,57
1989,10,55
1990,10,90
1991,16,89
1992,8,66
1993,14,77
1994,14,73
1995,12,80
1996,12,87
1997,12,85
1998,13,97
1999,10,114
2000,8,134
2001,18,137
2002,21,176
2003,23,212
2004,21,223
2005,14,242
2006,22,307
2007,22,376
2008,20,430
2009,23,525
2010,25,500
2011,22,593
2012,39,600
2013,53,585
2014,50,694
2015,47,1289
2016,37,1594
2017,95,1466
2018,79,1647
2019,48,2119
