year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,9,0
1931,8,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,8,0
1940,0,0
1941,0,0
1942,0,0
1943,6,0
1944,12,0
1945,10,0
1946,28,0
1947,36,0
1948,40,0
1949,43,0
1950,48,0
1951,63,0
1952,48,0
1953,52,0
1954,50,0
1955,31,0
1956,40,0
1957,32,0
1958,29,0
1959,30,0
1960,44,0
1961,33,0
1962,42,0
1963,46,0
1964,36,0
1965,39,0
1966,39,0
1967,56,0
1968,74,0
1969,90,0
1970,103,0
1971,123,0
1972,105,0
1973,117,0
1974,134,0
1975,152,0
1976,140,0
1977,177,0
1978,183,0
1979,215,0
1980,252,0
1981,295,0
1982,289,0
1983,245,0
1984,275,0
1985,297,0
1986,289,0
1987,286,0
1988,334,0
1989,354,7
1990,520,0
1991,476,0
1992,480,0
1993,499,0
1994,491,0
1995,481,0
1996,543,0
1997,499,0
1998,497,0
1999,544,0
2000,541,0
2001,543,0
2002,565,0
2003,587,0
2004,623,0
2005,618,0
2006,667,0
2007,691,0
2008,682,0
2009,654,0
2010,573,0
2011,579,0
2012,625,0
2013,597,0
2014,586,0
2015,619,0
2016,552,0
2017,564,0
2018,558,0
2019,574,0
