year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,5,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,5,0
1889,6,0
1890,10,0
1891,7,0
1892,5,0
1893,9,0
1894,16,0
1895,20,0
1896,10,0
1897,16,0
1898,11,0
1899,13,0
1900,23,0
1901,18,0
1902,26,0
1903,26,0
1904,28,0
1905,30,0
1906,35,0
1907,39,0
1908,35,0
1909,49,0
1910,59,0
1911,53,0
1912,97,0
1913,112,0
1914,130,0
1915,204,0
1916,186,0
1917,216,0
1918,194,0
1919,215,0
1920,264,0
1921,250,0
1922,256,0
1923,238,0
1924,232,0
1925,221,0
1926,247,0
1927,226,0
1928,207,5
1929,210,0
1930,210,0
1931,218,0
1932,170,0
1933,168,0
1934,160,0
1935,150,0
1936,133,0
1937,151,0
1938,134,0
1939,124,0
1940,114,0
1941,106,0
1942,101,0
1943,95,0
1944,103,0
1945,100,0
1946,97,0
1947,108,0
1948,120,0
1949,100,0
1950,92,0
1951,66,0
1952,89,0
1953,79,0
1954,73,0
1955,80,0
1956,69,0
1957,51,0
1958,52,0
1959,50,0
1960,55,0
1961,38,0
1962,47,0
1963,33,0
1964,43,0
1965,33,0
1966,40,0
1967,37,0
1968,30,0
1969,29,0
1970,23,0
1971,18,0
1972,21,0
1973,16,0
1974,10,0
1975,15,0
1976,20,0
1977,13,0
1978,16,0
1979,16,0
1980,22,0
1981,13,0
1982,19,0
1983,15,0
1984,17,0
1985,17,0
1986,22,0
1987,17,0
1988,13,0
1989,17,0
1990,12,0
1991,13,0
1992,20,0
1993,9,0
1994,7,0
1995,12,0
1996,10,0
1997,8,0
1998,11,0
1999,11,0
2000,16,0
2001,13,0
2002,13,0
2003,12,0
2004,14,0
2005,13,0
2006,9,0
2007,14,0
2008,11,0
2009,12,0
2010,16,0
2011,15,0
2012,12,0
2013,10,0
2014,8,0
2015,11,0
2016,10,0
2017,10,0
2018,13,0
2019,10,0
