year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,5
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,5
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,6
1954,0,6
1955,0,0
1956,0,0
1957,0,7
1958,0,12
1959,0,7
1960,0,7
1961,0,8
1962,0,14
1963,0,12
1964,0,9
1965,0,16
1966,0,16
1967,0,18
1968,0,19
1969,0,15
1970,0,24
1971,0,26
1972,0,20
1973,0,27
1974,0,28
1975,0,27
1976,0,29
1977,0,31
1978,0,29
1979,0,34
1980,0,35
1981,0,34
1982,0,29
1983,0,38
1984,0,45
1985,0,51
1986,0,53
1987,0,56
1988,0,62
1989,0,88
1990,0,74
1991,0,80
1992,0,88
1993,0,86
1994,0,110
1995,0,90
1996,0,113
1997,0,108
1998,0,163
1999,0,169
2000,0,162
2001,0,159
2002,0,248
2003,0,263
2004,0,299
2005,0,314
2006,0,385
2007,0,326
2008,0,396
2009,0,379
2010,0,351
2011,0,364
2012,0,342
2013,0,389
2014,0,422
2015,0,370
2016,0,367
2017,0,401
2018,0,454
2019,0,447
