year,Boys,Girls
1880,0,12
1881,0,6
1882,0,7
1883,0,8
1884,0,8
1885,0,8
1886,0,5
1887,0,8
1888,7,10
1889,0,16
1890,0,5
1891,0,6
1892,5,8
1893,0,6
1894,6,20
1895,6,7
1896,8,15
1897,0,10
1898,6,15
1899,0,9
1900,7,16
1901,6,14
1902,0,18
1903,0,13
1904,8,14
1905,9,22
1906,6,15
1907,7,17
1908,7,10
1909,9,16
1910,15,15
1911,13,21
1912,10,30
1913,19,46
1914,8,51
1915,12,71
1916,13,72
1917,14,79
1918,19,92
1919,16,81
1920,17,99
1921,25,106
1922,14,105
1923,8,99
1924,17,82
1925,22,69
1926,8,92
1927,13,98
1928,12,93
1929,11,81
1930,12,82
1931,15,72
1932,16,79
1933,8,76
1934,8,54
1935,12,56
1936,7,60
1937,10,70
1938,8,70
1939,12,59
1940,8,50
1941,8,65
1942,10,64
1943,11,50
1944,5,49
1945,5,58
1946,7,60
1947,10,53
1948,7,59
1949,5,56
1950,0,48
1951,9,45
1952,5,38
1953,5,28
1954,0,37
1955,5,39
1956,0,33
1957,0,37
1958,0,39
1959,0,22
1960,0,26
1961,0,24
1962,0,35
1963,0,25
1964,0,28
1965,0,27
1966,0,26
1967,0,24
1968,0,16
1969,0,22
1970,0,26
1971,0,27
1972,0,16
1973,0,16
1974,0,21
1975,0,17
1976,0,9
1977,0,9
1978,0,9
1979,0,9
1980,0,7
1981,0,10
1982,0,13
1983,0,6
1984,0,8
1985,0,11
1986,0,6
1987,0,11
1988,0,8
1989,0,9
1990,0,5
1991,0,9
1992,0,6
1993,0,0
1994,0,7
1995,0,0
1996,0,7
1997,0,9
1998,0,0
1999,0,0
2000,0,6
2001,0,0
2002,0,0
2003,0,6
2004,0,0
2005,0,0
2006,0,0
2007,0,6
2008,0,5
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,7
2014,0,7
2015,0,7
2016,5,0
2017,0,6
2018,0,5
2019,0,9
