year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,6,0
1954,0,0
1955,6,0
1956,0,0
1957,0,0
1958,9,0
1959,12,0
1960,10,0
1961,6,0
1962,10,0
1963,17,0
1964,11,0
1965,19,0
1966,16,0
1967,31,0
1968,25,0
1969,37,0
1970,41,0
1971,23,0
1972,23,0
1973,25,0
1974,25,0
1975,24,0
1976,40,0
1977,31,0
1978,42,0
1979,60,0
1980,42,0
1981,44,0
1982,48,0
1983,43,0
1984,55,0
1985,68,0
1986,82,0
1987,119,0
1988,146,0
1989,172,0
1990,213,0
1991,194,0
1992,228,0
1993,216,0
1994,228,0
1995,214,0
1996,237,0
1997,274,0
1998,277,0
1999,259,0
2000,297,0
2001,325,0
2002,286,0
2003,284,0
2004,302,0
2005,302,0
2006,245,0
2007,254,0
2008,193,0
2009,144,0
2010,124,0
2011,112,0
2012,88,0
2013,71,0
2014,61,0
2015,51,0
2016,36,0
2017,27,0
2018,27,0
2019,24,0
