year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,5,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,7,0
1911,5,0
1912,7,0
1913,8,0
1914,10,0
1915,5,0
1916,9,0
1917,9,0
1918,10,0
1919,5,0
1920,8,0
1921,12,0
1922,7,0
1923,9,0
1924,16,0
1925,7,0
1926,0,0
1927,0,0
1928,7,0
1929,5,0
1930,0,0
1931,5,0
1932,5,0
1933,0,0
1934,5,0
1935,5,0
1936,0,0
1937,0,0
1938,0,0
1939,6,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,7,0
1946,9,0
1947,13,0
1948,5,0
1949,11,0
1950,16,0
1951,14,0
1952,22,0
1953,22,0
1954,22,0
1955,23,0
1956,22,0
1957,12,0
1958,15,0
1959,15,0
1960,21,0
1961,16,0
1962,25,0
1963,26,0
1964,27,0
1965,31,0
1966,32,0
1967,25,0
1968,36,0
1969,30,0
1970,35,0
1971,35,0
1972,37,0
1973,32,0
1974,28,0
1975,30,0
1976,37,0
1977,32,0
1978,31,0
1979,30,0
1980,35,0
1981,39,0
1982,36,0
1983,74,0
1984,141,0
1985,195,0
1986,300,0
1987,363,0
1988,401,0
1989,308,0
1990,241,0
1991,216,0
1992,187,0
1993,153,0
1994,121,0
1995,143,0
1996,94,0
1997,148,0
1998,130,0
1999,147,0
2000,140,0
2001,137,0
2002,147,0
2003,137,0
2004,155,0
2005,155,0
2006,191,0
2007,159,0
2008,149,0
2009,160,0
2010,144,0
2011,147,0
2012,192,0
2013,144,0
2014,150,0
2015,124,0
2016,126,0
2017,83,0
2018,95,0
2019,84,0
