year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,5
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,8
1911,0,0
1912,0,8
1913,0,17
1914,0,12
1915,0,9
1916,0,14
1917,0,15
1918,0,11
1919,0,24
1920,0,21
1921,0,23
1922,0,30
1923,0,20
1924,0,34
1925,0,42
1926,0,27
1927,0,34
1928,0,41
1929,0,41
1930,0,34
1931,0,34
1932,0,44
1933,0,29
1934,0,30
1935,0,31
1936,0,16
1937,0,35
1938,0,23
1939,0,14
1940,0,23
1941,0,29
1942,0,22
1943,0,30
1944,0,31
1945,0,25
1946,0,30
1947,0,30
1948,0,43
1949,0,24
1950,0,33
1951,0,42
1952,0,30
1953,0,35
1954,0,40
1955,0,39
1956,0,39
1957,0,37
1958,0,29
1959,0,36
1960,0,33
1961,0,41
1962,0,37
1963,0,28
1964,0,28
1965,0,36
1966,0,23
1967,0,39
1968,0,30
1969,0,29
1970,0,37
1971,0,39
1972,0,30
1973,0,37
1974,0,44
1975,0,45
1976,0,34
1977,0,47
1978,0,42
1979,0,35
1980,0,41
1981,0,49
1982,0,49
1983,0,30
1984,0,42
1985,0,40
1986,0,31
1987,0,37
1988,0,40
1989,0,38
1990,0,52
1991,0,35
1992,0,40
1993,0,58
1994,0,41
1995,0,37
1996,0,56
1997,0,50
1998,0,59
1999,0,53
2000,0,64
2001,0,48
2002,0,27
2003,0,43
2004,0,42
2005,0,59
2006,0,57
2007,0,54
2008,0,37
2009,0,37
2010,0,30
2011,0,32
2012,0,42
2013,0,42
2014,0,44
2015,0,42
2016,0,47
2017,0,40
2018,0,58
2019,0,88
