year,F,M
1880,9,0
1881,5,0
1882,0,0
1883,0,0
1884,6,0
1885,0,0
1886,0,0
1887,9,0
1888,9,0
1889,8,0
1890,10,0
1891,10,0
1892,10,0
1893,15,0
1894,12,0
1895,16,0
1896,17,0
1897,15,0
1898,15,0
1899,11,0
1900,15,0
1901,13,0
1902,9,0
1903,7,0
1904,29,0
1905,18,0
1906,16,0
1907,24,0
1908,20,0
1909,19,0
1910,28,0
1911,14,0
1912,19,0
1913,35,0
1914,38,0
1915,39,0
1916,52,0
1917,40,0
1918,29,0
1919,33,0
1920,28,0
1921,38,0
1922,34,0
1923,24,0
1924,28,0
1925,35,0
1926,29,0
1927,26,0
1928,37,0
1929,25,0
1930,21,0
1931,23,0
1932,15,0
1933,11,0
1934,28,0
1935,20,0
1936,22,0
1937,12,0
1938,21,0
1939,19,0
1940,20,0
1941,20,0
1942,19,0
1943,22,0
1944,25,0
1945,65,0
1946,98,0
1947,87,0
1948,88,0
1949,93,0
1950,87,0
1951,96,0
1952,108,0
1953,98,0
1954,107,0
1955,129,0
1956,122,0
1957,137,0
1958,163,0
1959,208,0
1960,282,0
1961,335,5
1962,377,0
1963,401,0
1964,479,0
1965,526,0
1966,528,0
1967,626,0
1968,887,0
1969,1026,0
1970,1290,0
1971,1720,8
1972,1813,10
1973,2181,8
1974,3273,12
1975,4682,19
1976,5648,13
1977,7206,26
1978,8176,33
1979,11082,28
1980,12555,45
1981,13813,55
1982,14680,49
1983,14891,48
1984,15370,50
1985,15504,46
1986,16952,54
1987,16747,55
1988,16678,62
1989,16760,62
1990,15863,43
1991,14991,31
1992,13918,24
1993,14066,26
1994,12341,20
1995,10963,21
1996,9772,19
1997,8913,16
1998,7929,10
1999,6840,11
2000,6181,10
2001,5572,6
2002,4723,5
2003,4123,6
2004,3638,21
2005,3145,10
2006,2586,6
2007,2405,0
2008,2062,0
2009,1773,6
2010,1417,0
2011,1236,0
2012,1235,0
2013,1114,0
2014,1064,0
2015,978,0
2016,870,0
2017,781,0
2018,661,0
2019,647,0
