year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,5,0
1948,0,0
1949,0,0
1950,6,0
1951,8,0
1952,7,0
1953,5,0
1954,8,0
1955,16,0
1956,16,0
1957,17,0
1958,23,0
1959,14,0
1960,31,0
1961,33,0
1962,25,0
1963,37,0
1964,46,0
1965,67,0
1966,57,0
1967,94,0
1968,98,0
1969,172,0
1970,225,0
1971,220,0
1972,230,6
1973,307,0
1974,307,5
1975,334,0
1976,331,0
1977,271,9
1978,265,0
1979,283,0
1980,243,6
1981,212,0
1982,182,0
1983,170,6
1984,164,0
1985,179,0
1986,186,0
1987,170,0
1988,132,5
1989,110,0
1990,104,0
1991,115,0
1992,82,0
1993,80,0
1994,103,0
1995,84,0
1996,74,0
1997,71,0
1998,73,0
1999,64,0
2000,66,0
2001,58,6
2002,64,5
2003,66,5
2004,60,0
2005,89,0
2006,76,27
2007,69,38
2008,79,27
2009,64,13
2010,65,18
2011,53,20
2012,67,33
2013,51,15
2014,58,24
2015,40,10
2016,40,19
2017,43,12
2018,41,13
2019,45,19
