year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,0,7
1914,0,6
1915,0,5
1916,0,10
1917,0,9
1918,0,8
1919,0,7
1920,0,10
1921,0,5
1922,0,10
1923,0,5
1924,0,0
1925,0,9
1926,0,0
1927,0,5
1928,0,0
1929,0,8
1930,0,0
1931,0,7
1932,0,5
1933,0,0
1934,0,6
1935,0,0
1936,0,10
1937,0,5
1938,0,0
1939,0,7
1940,0,0
1941,0,6
1942,0,6
1943,0,10
1944,0,9
1945,0,7
1946,0,9
1947,0,6
1948,0,9
1949,0,7
1950,0,12
1951,0,6
1952,0,7
1953,0,12
1954,0,11
1955,0,11
1956,0,15
1957,0,17
1958,0,7
1959,0,15
1960,0,21
1961,0,22
1962,0,18
1963,0,17
1964,0,24
1965,0,15
1966,0,12
1967,0,22
1968,0,15
1969,0,23
1970,0,31
1971,0,29
1972,0,24
1973,0,23
1974,0,21
1975,0,32
1976,0,26
1977,0,33
1978,0,43
1979,0,39
1980,0,29
1981,0,51
1982,0,42
1983,0,60
1984,0,44
1985,0,67
1986,0,75
1987,0,66
1988,0,80
1989,0,72
1990,0,85
1991,0,87
1992,0,85
1993,0,80
1994,0,86
1995,0,102
1996,0,122
1997,0,91
1998,0,96
1999,0,123
2000,0,133
2001,0,109
2002,0,118
2003,0,153
2004,0,139
2005,0,127
2006,0,186
2007,0,153
2008,0,174
2009,0,137
2010,0,214
2011,0,207
2012,0,230
2013,0,235
2014,0,316
2015,0,293
2016,0,278
2017,0,289
2018,0,290
2019,0,238
