year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,5,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,8,0
1910,0,0
1911,0,0
1912,7,0
1913,7,0
1914,7,0
1915,16,0
1916,11,0
1917,9,0
1918,15,0
1919,11,0
1920,12,0
1921,20,0
1922,5,0
1923,14,0
1924,14,0
1925,8,0
1926,6,0
1927,7,0
1928,11,0
1929,5,0
1930,0,0
1931,9,0
1932,13,0
1933,12,0
1934,12,0
1935,15,0
1936,14,0
1937,13,0
1938,14,0
1939,14,0
1940,13,0
1941,14,0
1942,11,0
1943,12,0
1944,19,0
1945,18,0
1946,27,0
1947,29,0
1948,31,0
1949,25,0
1950,35,0
1951,17,0
1952,31,0
1953,23,0
1954,20,0
1955,36,0
1956,19,0
1957,25,0
1958,22,0
1959,19,0
1960,28,0
1961,26,0
1962,13,0
1963,30,0
1964,23,0
1965,24,0
1966,33,0
1967,13,0
1968,22,0
1969,25,0
1970,27,0
1971,30,0
1972,27,0
1973,25,0
1974,22,0
1975,23,0
1976,23,0
1977,25,0
1978,24,0
1979,26,0
1980,21,0
1981,19,0
1982,21,0
1983,20,0
1984,17,0
1985,19,0
1986,11,0
1987,20,0
1988,15,0
1989,9,0
1990,8,0
1991,17,0
1992,15,0
1993,19,0
1994,23,0
1995,30,0
1996,17,0
1997,19,0
1998,19,0
1999,23,0
2000,27,0
2001,22,0
2002,33,0
2003,38,0
2004,38,0
2005,40,0
2006,43,0
2007,85,0
2008,75,0
2009,69,0
2010,68,0
2011,75,0
2012,70,0
2013,63,0
2014,48,0
2015,56,0
2016,49,0
2017,37,0
2018,29,0
2019,29,0
