year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,6,0
1907,6,0
1908,0,0
1909,5,0
1910,7,0
1911,6,0
1912,9,0
1913,8,0
1914,19,0
1915,25,0
1916,18,0
1917,23,0
1918,34,0
1919,32,0
1920,30,0
1921,26,0
1922,37,0
1923,43,0
1924,51,0
1925,49,0
1926,50,0
1927,43,0
1928,40,0
1929,37,0
1930,35,0
1931,48,0
1932,35,0
1933,30,0
1934,47,0
1935,32,0
1936,51,0
1937,40,0
1938,51,0
1939,46,0
1940,42,0
1941,62,0
1942,66,0
1943,65,0
1944,78,0
1945,56,0
1946,69,0
1947,75,0
1948,85,0
1949,86,0
1950,88,0
1951,84,0
1952,66,0
1953,67,0
1954,95,0
1955,93,0
1956,107,0
1957,155,0
1958,136,0
1959,151,0
1960,166,0
1961,194,0
1962,173,0
1963,195,0
1964,204,0
1965,155,0
1966,131,0
1967,133,0
1968,127,0
1969,118,0
1970,108,0
1971,112,0
1972,99,0
1973,82,0
1974,113,0
1975,93,0
1976,95,0
1977,98,0
1978,96,0
1979,107,0
1980,136,0
1981,106,0
1982,123,0
1983,128,0
1984,132,0
1985,132,0
1986,159,0
1987,166,0
1988,180,0
1989,167,0
1990,179,0
1991,172,0
1992,164,0
1993,153,0
1994,188,0
1995,193,0
1996,222,0
1997,221,0
1998,193,0
1999,215,0
2000,217,0
2001,204,0
2002,195,0
2003,174,0
2004,181,0
2005,185,0
2006,180,0
2007,158,0
2008,140,0
2009,143,0
2010,109,0
2011,125,0
2012,150,0
2013,132,0
2014,139,0
2015,132,0
2016,106,0
2017,111,0
2018,78,0
2019,82,0
