year,F,M
1880,136,0
1881,131,0
1882,168,0
1883,183,0
1884,242,0
1885,203,0
1886,211,0
1887,249,0
1888,292,0
1889,311,0
1890,319,0
1891,342,0
1892,407,0
1893,400,0
1894,427,0
1895,462,0
1896,423,0
1897,479,0
1898,496,0
1899,476,0
1900,614,5
1901,504,0
1902,564,0
1903,581,0
1904,631,0
1905,708,0
1906,835,0
1907,980,0
1908,1088,6
1909,1110,5
1910,1413,0
1911,1598,5
1912,2369,7
1913,2684,10
1914,3365,10
1915,4333,9
1916,4571,12
1917,4603,7
1918,4567,11
1919,3975,8
1920,4114,9
1921,4007,6
1922,3973,8
1923,3727,8
1924,3627,9
1925,3320,8
1926,3108,6
1927,2930,13
1928,2824,9
1929,2881,16
1930,3093,14
1931,2978,16
1932,2969,6
1933,2767,11
1934,2785,7
1935,2894,9
1936,2755,8
1937,2724,14
1938,2886,9
1939,2769,15
1940,2897,14
1941,3096,12
1942,3525,7
1943,3535,9
1944,3210,10
1945,3407,5
1946,4115,0
1947,4186,0
1948,4122,7
1949,4052,9
1950,4458,8
1951,4873,9
1952,5257,8
1953,5256,7
1954,5299,12
1955,5218,11
1956,5352,8
1957,5482,8
1958,5453,14
1959,5742,10
1960,5632,12
1961,5521,13
1962,5270,17
1963,5328,12
1964,5413,16
1965,4724,9
1966,4153,11
1967,4103,12
1968,3914,11
1969,3710,18
1970,3439,18
1971,2919,9
1972,2265,12
1973,2451,8
1974,2462,11
1975,2285,5
1976,2220,9
1977,2356,8
1978,2467,10
1979,2735,5
1980,2779,10
1981,2809,12
1982,2446,14
1983,2305,9
1984,2238,9
1985,2020,10
1986,1918,13
1987,1869,15
1988,1853,6
1989,1881,19
1990,1926,10
1991,1672,0
1992,1684,0
1993,1483,6
1994,1432,0
1995,1385,5
1996,1324,0
1997,1346,0
1998,1134,0
1999,1083,0
2000,1081,0
2001,1023,0
2002,940,0
2003,796,0
2004,765,0
2005,709,0
2006,689,0
2007,608,0
2008,634,0
2009,557,0
2010,484,0
2011,486,0
2012,525,0
2013,572,0
2014,559,0
2015,542,0
2016,562,0
2017,522,0
2018,506,0
2019,530,0
