year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,6,0
1916,0,0
1917,10,0
1918,9,0
1919,0,0
1920,8,0
1921,10,0
1922,0,0
1923,9,0
1924,13,0
1925,14,0
1926,16,0
1927,15,0
1928,14,0
1929,23,0
1930,33,0
1931,21,0
1932,31,0
1933,43,0
1934,32,0
1935,41,0
1936,68,0
1937,55,0
1938,71,0
1939,78,0
1940,97,0
1941,102,0
1942,114,0
1943,133,0
1944,116,0
1945,123,0
1946,144,0
1947,161,0
1948,147,0
1949,164,0
1950,157,0
1951,169,0
1952,189,0
1953,176,0
1954,202,0
1955,166,0
1956,166,0
1957,238,0
1958,229,0
1959,286,0
1960,352,0
1961,403,0
1962,446,0
1963,457,0
1964,428,0
1965,406,0
1966,401,0
1967,508,0
1968,596,0
1969,652,0
1970,642,0
1971,476,0
1972,333,0
1973,333,0
1974,322,0
1975,286,0
1976,345,0
1977,274,0
1978,243,0
1979,264,0
1980,235,0
1981,221,0
1982,204,0
1983,185,0
1984,223,0
1985,198,0
1986,231,0
1987,189,0
1988,216,0
1989,184,0
1990,191,0
1991,208,0
1992,207,0
1993,165,0
1994,179,0
1995,164,0
1996,183,0
1997,211,0
1998,176,0
1999,179,0
2000,140,0
2001,146,0
2002,136,0
2003,159,0
2004,150,0
2005,173,0
2006,165,0
2007,131,0
2008,148,0
2009,145,0
2010,129,0
2011,128,0
2012,117,0
2013,126,0
2014,131,0
2015,106,0
2016,101,0
2017,68,0
2018,97,0
2019,87,0
