year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,5
1915,0,5
1916,0,5
1917,0,0
1918,0,9
1919,0,5
1920,0,6
1921,0,8
1922,0,10
1923,0,6
1924,0,13
1925,0,14
1926,0,10
1927,0,9
1928,0,13
1929,0,12
1930,0,7
1931,0,9
1932,0,5
1933,0,7
1934,0,9
1935,0,8
1936,0,0
1937,0,5
1938,0,8
1939,0,9
1940,0,7
1941,0,8
1942,0,0
1943,0,7
1944,0,7
1945,0,9
1946,0,9
1947,0,6
1948,0,10
1949,0,10
1950,0,8
1951,0,6
1952,0,7
1953,0,12
1954,0,16
1955,0,21
1956,0,10
1957,0,10
1958,0,11
1959,0,14
1960,0,13
1961,0,20
1962,0,11
1963,0,5
1964,0,12
1965,0,15
1966,0,13
1967,0,20
1968,0,14
1969,0,15
1970,0,13
1971,0,21
1972,0,14
1973,0,12
1974,0,10
1975,0,19
1976,0,10
1977,0,21
1978,0,11
1979,0,13
1980,0,13
1981,0,14
1982,0,7
1983,0,12
1984,0,9
1985,0,17
1986,0,12
1987,0,13
1988,0,24
1989,0,9
1990,0,9
1991,0,9
1992,0,22
1993,0,9
1994,0,12
1995,0,7
1996,0,15
1997,0,15
1998,0,14
1999,0,15
2000,0,10
2001,0,10
2002,0,10
2003,0,13
2004,0,8
2005,0,9
2006,0,13
2007,0,0
2008,0,10
2009,0,7
2010,0,10
2011,0,11
2012,0,7
2013,0,6
2014,0,7
2015,0,0
2016,0,5
2017,0,7
2018,0,8
2019,0,10
