year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,6,0
1885,0,9
1886,0,5
1887,0,6
1888,0,0
1889,0,0
1890,5,6
1891,0,0
1892,0,9
1893,0,7
1894,0,8
1895,0,7
1896,0,9
1897,0,10
1898,0,5
1899,5,7
1900,0,8
1901,0,6
1902,0,5
1903,5,9
1904,0,9
1905,0,8
1906,0,7
1907,0,6
1908,0,12
1909,0,0
1910,0,7
1911,6,7
1912,0,21
1913,0,22
1914,0,30
1915,0,54
1916,5,42
1917,7,46
1918,7,47
1919,0,42
1920,8,44
1921,6,48
1922,11,63
1923,0,59
1924,8,40
1925,6,50
1926,6,60
1927,5,57
1928,8,46
1929,10,54
1930,8,36
1931,6,37
1932,0,46
1933,8,42
1934,0,43
1935,5,37
1936,0,44
1937,0,48
1938,0,28
1939,0,29
1940,0,37
1941,0,28
1942,0,39
1943,0,32
1944,0,37
1945,0,30
1946,0,38
1947,0,29
1948,0,31
1949,0,19
1950,0,25
1951,0,33
1952,0,21
1953,0,13
1954,0,21
1955,0,21
1956,0,26
1957,0,17
1958,0,21
1959,0,19
1960,0,15
1961,0,18
1962,0,14
1963,0,16
1964,0,10
1965,0,17
1966,0,13
1967,0,12
1968,0,9
1969,0,12
1970,0,8
1971,0,10
1972,0,7
1973,0,7
1974,0,11
1975,0,10
1976,0,11
1977,0,11
1978,0,6
1979,0,11
1980,0,8
1981,5,10
1982,27,11
1983,30,13
1984,15,11
1985,7,8
1986,7,11
1987,8,11
1988,9,22
1989,0,29
1990,0,27
1991,5,15
1992,5,19
1993,0,42
1994,7,24
1995,7,14
1996,7,10
1997,9,8
1998,6,9
1999,9,12
2000,15,11
2001,0,9
2002,13,19
2003,12,10
2004,13,10
2005,10,16
2006,11,12
2007,14,11
2008,14,20
2009,16,21
2010,20,37
2011,29,56
2012,18,89
2013,28,46
2014,24,63
2015,32,61
2016,22,51
2017,35,47
2018,33,64
2019,31,88
