year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,14,14
1971,21,8
1972,21,19
1973,30,18
1974,30,32
1975,29,20
1976,31,18
1977,44,25
1978,53,26
1979,175,40
1980,191,21
1981,89,16
1982,101,16
1983,91,12
1984,63,18
1985,59,7
1986,56,9
1987,60,14
1988,68,15
1989,206,22
1990,113,17
1991,123,20
1992,172,23
1993,219,38
1994,225,34
1995,242,37
1996,313,35
1997,267,22
1998,256,28
1999,243,27
2000,206,20
2001,281,24
2002,2945,23
2003,962,6
2004,532,10
2005,398,0
2006,302,0
2007,297,9
2008,292,0
2009,264,9
2010,233,0
2011,235,5
2012,200,0
2013,208,0
2014,184,0
2015,157,5
2016,161,0
2017,141,0
2018,162,0
2019,159,5
