year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,12
1914,0,0
1915,8,5
1916,0,8
1917,0,6
1918,0,12
1919,5,10
1920,7,10
1921,6,11
1922,0,10
1923,8,11
1924,13,8
1925,0,9
1926,0,5
1927,0,5
1928,10,7
1929,6,5
1930,0,10
1931,0,9
1932,0,9
1933,6,9
1934,0,18
1935,0,17
1936,10,24
1937,6,35
1938,11,57
1939,0,50
1940,5,44
1941,10,44
1942,5,31
1943,12,25
1944,0,21
1945,0,30
1946,6,21
1947,0,16
1948,6,18
1949,0,15
1950,0,12
1951,0,12
1952,5,15
1953,0,14
1954,0,12
1955,0,14
1956,0,17
1957,0,17
1958,5,8
1959,0,18
1960,0,16
1961,0,17
1962,0,13
1963,0,12
1964,0,7
1965,0,15
1966,0,9
1967,0,17
1968,0,5
1969,0,0
1970,0,10
1971,0,6
1972,0,7
1973,0,0
1974,0,0
1975,0,8
1976,0,0
1977,0,6
1978,0,9
1979,0,9
1980,0,7
1981,0,10
1982,0,8
1983,0,0
1984,0,5
1985,0,7
1986,0,7
1987,0,8
1988,0,0
1989,0,7
1990,0,6
1991,0,0
1992,0,6
1993,0,0
1994,0,0
1995,0,6
1996,0,9
1997,0,9
1998,0,7
1999,0,6
2000,0,5
2001,0,0
2002,5,9
2003,0,0
2004,0,0
2005,0,0
2006,0,9
2007,0,6
2008,0,10
2009,6,5
2010,0,5
2011,7,6
2012,6,0
2013,0,8
2014,5,5
2015,13,7
2016,5,7
2017,9,9
2018,12,7
2019,0,5
