year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,7,0
1903,5,0
1904,6,0
1905,6,0
1906,11,0
1907,5,0
1908,11,0
1909,8,0
1910,5,0
1911,6,0
1912,10,0
1913,13,0
1914,9,0
1915,11,0
1916,16,0
1917,14,0
1918,20,0
1919,14,0
1920,24,0
1921,17,0
1922,14,0
1923,10,0
1924,10,0
1925,11,0
1926,13,0
1927,5,0
1928,10,0
1929,13,0
1930,0,0
1931,7,0
1932,9,0
1933,0,0
1934,5,0
1935,9,0
1936,8,0
1937,5,0
1938,7,0
1939,5,0
1940,0,0
1941,6,0
1942,5,0
1943,10,0
1944,0,0
1945,0,0
1946,6,0
1947,0,0
1948,5,0
1949,0,0
1950,11,0
1951,11,0
1952,8,0
1953,18,0
1954,5,0
1955,6,0
1956,17,0
1957,0,0
1958,5,0
1959,0,0
1960,8,0
1961,0,0
1962,10,0
1963,0,0
1964,8,0
1965,0,0
1966,0,0
1967,6,0
1968,0,0
1969,11,0
1970,8,0
1971,9,0
1972,7,0
1973,11,0
1974,19,0
1975,15,0
1976,17,0
1977,16,0
1978,19,0
1979,14,0
1980,11,0
1981,21,0
1982,12,0
1983,15,0
1984,13,0
1985,14,0
1986,11,0
1987,19,0
1988,20,0
1989,26,0
1990,23,0
1991,25,0
1992,25,0
1993,33,0
1994,33,0
1995,28,0
1996,46,0
1997,56,0
1998,57,0
1999,58,0
2000,60,0
2001,86,0
2002,97,0
2003,94,0
2004,96,0
2005,137,0
2006,120,0
2007,128,0
2008,138,0
2009,136,0
2010,164,0
2011,202,0
2012,296,0
2013,446,0
2014,583,0
2015,523,0
2016,523,0
2017,521,0
2018,607,0
2019,571,0
