year,Girls,Boys
1880,0,0
1881,0,0
1882,5,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,5,0
1899,0,0
1900,5,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,7,0
1912,6,0
1913,10,0
1914,9,0
1915,13,0
1916,18,0
1917,14,0
1918,15,0
1919,19,0
1920,12,0
1921,31,0
1922,25,0
1923,32,0
1924,24,0
1925,30,0
1926,32,0
1927,42,0
1928,31,0
1929,52,0
1930,47,0
1931,52,0
1932,56,0
1933,71,0
1934,62,0
1935,78,0
1936,81,0
1937,85,0
1938,89,0
1939,99,0
1940,110,0
1941,86,0
1942,80,0
1943,92,0
1944,90,0
1945,90,0
1946,102,0
1947,124,0
1948,174,0
1949,194,0
1950,209,0
1951,212,0
1952,185,0
1953,200,0
1954,135,0
1955,165,0
1956,134,0
1957,150,0
1958,136,0
1959,140,0
1960,138,0
1961,130,0
1962,128,0
1963,105,0
1964,163,0
1965,235,0
1966,343,0
1967,251,0
1968,195,0
1969,201,0
1970,200,0
1971,163,0
1972,113,0
1973,110,0
1974,108,0
1975,94,0
1976,74,0
1977,104,0
1978,80,0
1979,70,0
1980,86,0
1981,77,0
1982,71,0
1983,53,0
1984,47,0
1985,34,0
1986,34,0
1987,32,0
1988,42,0
1989,38,0
1990,32,0
1991,24,0
1992,23,0
1993,7,0
1994,17,0
1995,29,0
1996,12,0
1997,17,0
1998,11,0
1999,14,0
2000,11,0
2001,9,0
2002,7,0
2003,8,0
2004,12,0
2005,0,0
2006,9,0
2007,5,0
2008,5,0
2009,6,0
2010,5,0
2011,0,0
2012,0,0
2013,5,0
2014,5,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
