year,F,M
1880,8,0
1881,9,0
1882,0,0
1883,0,0
1884,6,0
1885,5,0
1886,7,0
1887,7,0
1888,6,0
1889,6,0
1890,5,0
1891,0,0
1892,5,0
1893,8,0
1894,0,0
1895,5,0
1896,0,0
1897,6,0
1898,6,0
1899,0,0
1900,7,0
1901,7,0
1902,0,0
1903,0,0
1904,6,0
1905,0,0
1906,8,0
1907,5,0
1908,10,0
1909,7,0
1910,7,0
1911,7,0
1912,11,0
1913,0,0
1914,22,0
1915,23,0
1916,18,0
1917,30,0
1918,20,0
1919,26,0
1920,24,0
1921,39,0
1922,37,0
1923,49,0
1924,37,0
1925,45,0
1926,28,0
1927,44,0
1928,42,0
1929,47,0
1930,47,0
1931,52,0
1932,56,0
1933,62,0
1934,67,0
1935,99,0
1936,118,0
1937,114,0
1938,178,0
1939,265,0
1940,347,0
1941,427,0
1942,512,0
1943,551,0
1944,593,0
1945,657,0
1946,1038,0
1947,1298,0
1948,1200,0
1949,1105,5
1950,1235,5
1951,1259,0
1952,1537,0
1953,1627,0
1954,1849,0
1955,2003,5
1956,2689,5
1957,3522,7
1958,4362,11
1959,4753,0
1960,4324,0
1961,4096,0
1962,3702,11
1963,3307,12
1964,3105,7
1965,2589,9
1966,2297,0
1967,2031,7
1968,2055,5
1969,2094,6
1970,2071,0
1971,1930,10
1972,1787,10
1973,1612,5
1974,1497,5
1975,1305,6
1976,1196,0
1977,1009,0
1978,996,0
1979,908,6
1980,1011,7
1981,993,0
1982,800,0
1983,689,0
1984,577,0
1985,515,0
1986,382,0
1987,377,0
1988,324,0
1989,261,0
1990,229,0
1991,205,0
1992,192,0
1993,161,0
1994,138,0
1995,108,0
1996,117,0
1997,129,0
1998,79,0
1999,89,0
2000,81,0
2001,66,0
2002,66,0
2003,53,0
2004,55,0
2005,57,0
2006,52,0
2007,68,0
2008,56,0
2009,59,0
2010,45,0
2011,45,0
2012,40,0
2013,39,0
2014,53,0
2015,58,0
2016,45,0
2017,43,0
2018,37,0
2019,59,0
