year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,5,0
1914,0,7
1915,0,13
1916,0,13
1917,0,9
1918,0,14
1919,0,7
1920,5,5
1921,6,6
1922,0,11
1923,5,7
1924,7,0
1925,0,12
1926,0,7
1927,0,8
1928,0,7
1929,0,5
1930,0,0
1931,0,0
1932,0,5
1933,0,0
1934,0,5
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,6
1944,0,0
1945,0,0
1946,0,6
1947,0,8
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,7
1953,0,6
1954,0,0
1955,0,7
1956,0,0
1957,0,5
1958,0,12
1959,0,10
1960,0,9
1961,0,10
1962,0,12
1963,0,10
1964,0,9
1965,0,10
1966,0,6
1967,0,9
1968,0,0
1969,0,0
1970,0,10
1971,0,0
1972,0,5
1973,6,8
1974,5,5
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,6,5
1980,0,8
1981,0,0
1982,0,0
1983,0,5
1984,0,0
1985,0,7
1986,0,0
1987,0,0
1988,0,0
1989,6,5
1990,0,0
1991,0,0
1992,0,6
1993,0,5
1994,0,0
1995,5,6
1996,5,0
1997,11,0
1998,11,5
1999,10,0
2000,16,9
2001,16,5
2002,15,10
2003,21,7
2004,23,13
2005,26,12
2006,34,5
2007,34,11
2008,43,6
2009,30,0
2010,44,0
2011,34,0
2012,41,0
2013,28,0
2014,38,6
2015,16,7
2016,25,6
2017,20,6
2018,16,5
2019,27,0
