year,Girls,Boys
1880,0,12
1881,0,10
1882,0,12
1883,0,11
1884,0,7
1885,0,15
1886,0,0
1887,0,13
1888,0,23
1889,0,12
1890,0,11
1891,0,5
1892,0,12
1893,0,6
1894,0,10
1895,0,7
1896,0,0
1897,0,7
1898,0,12
1899,0,7
1900,0,7
1901,0,0
1902,0,6
1903,0,5
1904,0,8
1905,0,6
1906,0,0
1907,0,0
1908,0,9
1909,0,6
1910,0,5
1911,0,11
1912,0,14
1913,0,16
1914,0,24
1915,0,21
1916,0,17
1917,0,33
1918,0,35
1919,0,33
1920,0,37
1921,0,25
1922,0,35
1923,0,32
1924,0,37
1925,0,35
1926,0,41
1927,0,24
1928,0,19
1929,0,32
1930,0,27
1931,0,17
1932,0,20
1933,0,14
1934,0,12
1935,0,15
1936,0,11
1937,0,13
1938,0,23
1939,0,9
1940,0,10
1941,0,11
1942,0,7
1943,0,15
1944,0,10
1945,0,10
1946,0,14
1947,0,15
1948,0,10
1949,0,12
1950,0,14
1951,0,17
1952,0,18
1953,0,22
1954,0,16
1955,0,20
1956,0,17
1957,0,14
1958,0,10
1959,0,9
1960,0,14
1961,0,11
1962,0,12
1963,0,6
1964,0,9
1965,0,8
1966,0,8
1967,0,8
1968,0,0
1969,0,10
1970,0,11
1971,0,13
1972,0,14
1973,0,9
1974,0,18
1975,0,38
1976,0,29
1977,0,44
1978,0,26
1979,0,18
1980,0,30
1981,0,22
1982,0,28
1983,0,30
1984,0,23
1985,0,15
1986,0,23
1987,0,32
1988,0,23
1989,0,24
1990,0,21
1991,0,20
1992,0,16
1993,0,16
1994,0,9
1995,0,17
1996,0,16
1997,0,13
1998,0,13
1999,0,16
2000,0,12
2001,0,15
2002,0,11
2003,0,9
2004,0,8
2005,0,11
2006,0,6
2007,0,8
2008,0,7
2009,0,5
2010,0,6
2011,0,0
2012,0,6
2013,0,5
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
