year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,6
1914,0,8
1915,0,7
1916,0,0
1917,0,7
1918,0,13
1919,0,10
1920,0,12
1921,0,7
1922,0,12
1923,5,6
1924,0,15
1925,0,5
1926,0,11
1927,0,0
1928,0,11
1929,0,10
1930,0,9
1931,0,8
1932,0,7
1933,0,6
1934,0,14
1935,0,5
1936,0,7
1937,0,9
1938,0,0
1939,0,8
1940,0,7
1941,0,9
1942,0,0
1943,0,9
1944,0,0
1945,0,8
1946,0,9
1947,0,10
1948,0,6
1949,0,6
1950,0,5
1951,0,10
1952,0,9
1953,0,0
1954,0,5
1955,0,8
1956,0,8
1957,0,0
1958,0,9
1959,0,14
1960,0,6
1961,0,5
1962,0,6
1963,0,5
1964,0,5
1965,0,6
1966,0,5
1967,0,7
1968,0,11
1969,0,0
1970,0,7
1971,0,5
1972,0,9
1973,0,7
1974,0,0
1975,7,5
1976,5,0
1977,0,0
1978,6,6
1979,0,7
1980,0,0
1981,6,0
1982,6,0
1983,5,7
1984,6,0
1985,8,7
1986,11,6
1987,11,0
1988,5,0
1989,11,10
1990,8,0
1991,11,7
1992,10,6
1993,14,8
1994,12,11
1995,18,9
1996,12,8
1997,20,7
1998,19,14
1999,19,11
2000,22,8
2001,29,8
2002,21,10
2003,24,10
2004,30,16
2005,45,13
2006,43,9
2007,48,7
2008,56,16
2009,56,10
2010,76,12
2011,88,20
2012,77,20
2013,84,21
2014,85,14
2015,108,17
2016,117,16
2017,119,14
2018,114,17
2019,97,18
