year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,9,0
1917,6,0
1918,9,0
1919,10,0
1920,12,0
1921,11,0
1922,5,0
1923,14,0
1924,19,0
1925,16,0
1926,8,0
1927,11,0
1928,14,0
1929,19,0
1930,23,0
1931,17,0
1932,9,0
1933,10,0
1934,12,0
1935,11,0
1936,10,0
1937,16,0
1938,13,0
1939,9,0
1940,10,0
1941,12,0
1942,9,0
1943,9,0
1944,10,0
1945,10,0
1946,9,0
1947,8,0
1948,14,0
1949,11,0
1950,15,0
1951,10,0
1952,11,0
1953,9,0
1954,15,0
1955,12,0
1956,13,0
1957,13,0
1958,13,0
1959,12,0
1960,13,0
1961,19,0
1962,10,0
1963,18,0
1964,21,0
1965,14,0
1966,17,0
1967,17,0
1968,9,0
1969,11,0
1970,12,0
1971,17,0
1972,12,0
1973,20,0
1974,13,0
1975,18,0
1976,15,0
1977,13,0
1978,21,0
1979,34,0
1980,19,0
1981,28,0
1982,27,0
1983,27,0
1984,28,0
1985,16,0
1986,27,0
1987,31,0
1988,26,0
1989,14,0
1990,24,0
1991,31,0
1992,29,0
1993,37,0
1994,25,0
1995,25,0
1996,25,0
1997,24,0
1998,21,0
1999,36,0
2000,25,0
2001,26,0
2002,20,0
2003,24,0
2004,23,0
2005,25,0
2006,26,0
2007,26,0
2008,18,0
2009,22,0
2010,17,0
2011,13,0
2012,14,0
2013,15,0
2014,11,0
2015,13,0
2016,10,0
2017,15,0
2018,16,0
2019,17,0
