year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,5,0
1892,6,0
1893,7,0
1894,0,0
1895,5,0
1896,12,0
1897,0,0
1898,5,0
1899,0,0
1900,6,0
1901,7,0
1902,8,0
1903,12,0
1904,5,0
1905,11,0
1906,9,0
1907,5,0
1908,18,0
1909,15,0
1910,18,0
1911,9,0
1912,26,0
1913,34,0
1914,46,0
1915,50,0
1916,39,0
1917,53,0
1918,56,0
1919,47,0
1920,48,0
1921,60,0
1922,53,0
1923,47,0
1924,54,0
1925,42,0
1926,49,0
1927,35,0
1928,44,0
1929,36,0
1930,48,0
1931,43,0
1932,40,0
1933,30,0
1934,31,0
1935,38,0
1936,28,0
1937,32,0
1938,29,0
1939,33,0
1940,31,0
1941,33,0
1942,29,0
1943,32,0
1944,32,0
1945,24,0
1946,29,0
1947,35,0
1948,42,0
1949,36,0
1950,48,0
1951,50,0
1952,48,0
1953,50,0
1954,45,0
1955,50,0
1956,46,0
1957,53,0
1958,33,0
1959,50,0
1960,40,0
1961,46,0
1962,24,0
1963,44,0
1964,41,0
1965,31,0
1966,37,0
1967,39,0
1968,30,0
1969,33,0
1970,33,0
1971,45,0
1972,22,0
1973,19,0
1974,22,0
1975,20,0
1976,13,0
1977,16,0
1978,24,0
1979,16,0
1980,9,0
1981,13,0
1982,7,0
1983,11,0
1984,10,0
1985,5,0
1986,6,0
1987,0,0
1988,5,0
1989,6,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
