year,Girls,Boys
1880,59,0
1881,48,0
1882,57,0
1883,69,7
1884,83,0
1885,96,0
1886,135,0
1887,127,0
1888,157,5
1889,206,7
1890,229,8
1891,248,11
1892,299,5
1893,340,0
1894,389,6
1895,447,6
1896,489,9
1897,519,16
1898,619,9
1899,515,8
1900,702,10
1901,660,0
1902,794,14
1903,868,11
1904,962,16
1905,1032,20
1906,1107,20
1907,1185,22
1908,1363,15
1909,1337,21
1910,1721,28
1911,1915,25
1912,2593,31
1913,3036,51
1914,3730,67
1915,4937,93
1916,5183,93
1917,5546,73
1918,5893,116
1919,5793,103
1920,5928,114
1921,6190,119
1922,5912,121
1923,5808,104
1924,6033,110
1925,5728,89
1926,5442,97
1927,5306,115
1928,4943,95
1929,4550,90
1930,4438,75
1931,3823,72
1932,3544,87
1933,3007,72
1934,2979,69
1935,2775,75
1936,2543,56
1937,2384,49
1938,2289,43
1939,2123,51
1940,2089,49
1941,1932,42
1942,1962,52
1943,1890,38
1944,1659,36
1945,1473,24
1946,1469,25
1947,1689,36
1948,1488,19
1949,1378,35
1950,1301,21
1951,1286,28
1952,1212,24
1953,1156,16
1954,1075,22
1955,1046,23
1956,1034,22
1957,979,20
1958,888,18
1959,853,20
1960,871,12
1961,764,10
1962,761,12
1963,702,15
1964,652,16
1965,561,12
1966,472,16
1967,458,7
1968,421,10
1969,384,14
1970,375,9
1971,326,5
1972,289,11
1973,265,10
1974,262,7
1975,222,6
1976,255,5
1977,182,5
1978,184,5
1979,165,0
1980,177,0
1981,169,0
1982,174,6
1983,143,0
1984,157,0
1985,145,0
1986,107,0
1987,132,0
1988,140,0
1989,144,0
1990,146,5
1991,143,0
1992,138,0
1993,126,6
1994,137,0
1995,109,0
1996,116,0
1997,111,0
1998,101,0
1999,122,0
2000,97,0
2001,105,0
2002,88,0
2003,82,0
2004,86,0
2005,84,0
2006,81,0
2007,80,0
2008,85,0
2009,80,0
2010,66,0
2011,62,0
2012,47,0
2013,71,0
2014,65,0
2015,57,0
2016,53,0
2017,71,0
2018,64,0
2019,54,0
