year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,5,0
1897,5,0
1898,0,0
1899,5,0
1900,6,0
1901,6,0
1902,14,0
1903,9,0
1904,9,0
1905,0,0
1906,11,0
1907,16,0
1908,18,0
1909,19,0
1910,21,0
1911,29,0
1912,38,0
1913,53,0
1914,82,0
1915,148,0
1916,230,0
1917,387,0
1918,582,0
1919,718,0
1920,1000,0
1921,1316,0
1922,1482,0
1923,1693,0
1924,1736,6
1925,1592,0
1926,1381,0
1927,1189,0
1928,1000,0
1929,884,6
1930,774,0
1931,709,0
1932,772,0
1933,855,0
1934,741,5
1935,658,0
1936,717,0
1937,685,0
1938,741,0
1939,735,0
1940,729,5
1941,747,0
1942,836,0
1943,770,0
1944,691,0
1945,639,0
1946,732,0
1947,739,0
1948,581,0
1949,570,0
1950,459,0
1951,495,0
1952,384,0
1953,444,0
1954,389,0
1955,339,0
1956,282,0
1957,267,0
1958,188,0
1959,191,0
1960,145,0
1961,146,0
1962,117,0
1963,101,0
1964,105,0
1965,75,0
1966,56,0
1967,55,0
1968,44,0
1969,46,0
1970,32,0
1971,25,0
1972,21,0
1973,21,0
1974,14,0
1975,12,0
1976,15,0
1977,18,0
1978,8,0
1979,15,0
1980,17,0
1981,12,0
1982,11,0
1983,9,0
1984,7,0
1985,12,0
1986,7,0
1987,7,0
1988,12,0
1989,5,0
1990,6,0
1991,12,0
1992,5,0
1993,5,0
1994,7,0
1995,0,0
1996,0,0
1997,5,0
1998,0,0
1999,5,0
2000,0,0
2001,5,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,6,0
2008,0,0
2009,5,0
2010,6,0
2011,0,0
2012,5,0
2013,7,0
2014,8,0
2015,9,0
2016,14,0
2017,0,0
2018,11,0
2019,5,0
