year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,5,0
1884,0,0
1885,0,0
1886,5,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,6,0
1893,7,0
1894,6,0
1895,7,0
1896,0,0
1897,0,0
1898,6,0
1899,5,0
1900,9,0
1901,0,0
1902,8,0
1903,9,0
1904,7,0
1905,12,0
1906,6,0
1907,14,0
1908,11,0
1909,17,0
1910,31,0
1911,16,0
1912,21,0
1913,39,0
1914,38,0
1915,46,0
1916,63,0
1917,81,0
1918,110,0
1919,105,0
1920,154,0
1921,224,0
1922,241,0
1923,389,0
1924,439,0
1925,540,0
1926,603,0
1927,676,0
1928,663,0
1929,700,0
1930,751,6
1931,741,0
1932,694,7
1933,763,0
1934,740,0
1935,701,5
1936,637,6
1937,638,0
1938,728,0
1939,658,5
1940,704,8
1941,729,5
1942,741,5
1943,743,0
1944,714,0
1945,669,0
1946,696,0
1947,738,0
1948,635,0
1949,610,0
1950,480,0
1951,458,0
1952,407,0
1953,333,0
1954,275,0
1955,255,0
1956,197,0
1957,147,0
1958,123,0
1959,128,0
1960,101,0
1961,78,0
1962,73,0
1963,60,0
1964,55,0
1965,54,0
1966,45,0
1967,21,0
1968,15,0
1969,25,0
1970,25,0
1971,23,0
1972,16,0
1973,13,0
1974,20,0
1975,5,0
1976,7,0
1977,10,0
1978,8,0
1979,5,0
1980,10,0
1981,7,0
1982,8,0
1983,12,0
1984,9,0
1985,7,0
1986,8,0
1987,5,0
1988,0,0
1989,5,0
1990,8,0
1991,6,0
1992,9,0
1993,0,0
1994,0,0
1995,0,0
1996,5,0
1997,5,0
1998,5,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
