year,Boys,Girls
1880,0,5
1881,0,0
1882,0,0
1883,0,0
1884,0,5
1885,0,0
1886,0,5
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,7
1892,0,0
1893,0,5
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,6
1902,0,5
1903,0,0
1904,0,0
1905,0,5
1906,0,0
1907,0,8
1908,0,0
1909,0,5
1910,0,8
1911,0,0
1912,0,6
1913,0,8
1914,0,16
1915,0,13
1916,0,13
1917,0,12
1918,0,9
1919,0,9
1920,0,13
1921,0,21
1922,0,16
1923,0,0
1924,0,13
1925,0,11
1926,0,21
1927,0,5
1928,0,10
1929,0,9
1930,0,0
1931,0,6
1932,0,6
1933,0,10
1934,0,10
1935,0,8
1936,0,7
1937,0,9
1938,0,11
1939,0,5
1940,0,9
1941,0,8
1942,0,10
1943,0,11
1944,0,6
1945,0,10
1946,0,8
1947,0,7
1948,0,7
1949,0,0
1950,0,7
1951,0,6
1952,0,0
1953,0,0
1954,0,8
1955,0,5
1956,0,7
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,6
1963,0,5
1964,0,6
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,5
1970,0,6
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,6
1978,0,5
1979,0,0
1980,0,7
1981,0,12
1982,0,11
1983,0,0
1984,0,8
1985,0,7
1986,0,9
1987,0,16
1988,0,18
1989,0,23
1990,0,29
1991,0,25
1992,5,46
1993,10,34
1994,6,43
1995,9,57
1996,5,55
1997,11,60
1998,6,73
1999,12,73
2000,7,83
2001,10,75
2002,17,116
2003,18,130
2004,24,188
2005,30,302
2006,33,374
2007,36,388
2008,41,461
2009,34,491
2010,33,462
2011,33,456
2012,50,487
2013,48,465
2014,65,496
2015,37,449
2016,50,416
2017,41,387
2018,40,405
2019,52,448
