year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,6
1948,0,8
1949,0,0
1950,0,0
1951,0,0
1952,0,5
1953,0,11
1954,0,9
1955,0,6
1956,0,6
1957,0,10
1958,0,11
1959,0,13
1960,0,11
1961,0,11
1962,0,10
1963,0,8
1964,0,14
1965,0,12
1966,0,5
1967,0,16
1968,0,15
1969,0,12
1970,0,19
1971,0,9
1972,0,18
1973,0,17
1974,0,15
1975,0,27
1976,0,25
1977,0,40
1978,0,34
1979,0,37
1980,0,33
1981,0,41
1982,0,45
1983,0,40
1984,0,51
1985,0,55
1986,0,63
1987,0,62
1988,0,73
1989,0,74
1990,0,79
1991,0,66
1992,0,66
1993,9,73
1994,9,51
1995,12,83
1996,11,100
1997,8,82
1998,0,86
1999,6,82
2000,0,68
2001,6,81
2002,8,84
2003,0,80
2004,8,69
2005,5,90
2006,5,83
2007,5,93
2008,0,93
2009,7,79
2010,0,95
2011,6,83
2012,9,107
2013,19,78
2014,25,83
2015,42,74
2016,30,56
2017,24,54
2018,25,53
2019,27,41
