year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,6
1963,0,5
1964,0,0
1965,0,7
1966,0,7
1967,0,0
1968,0,9
1969,0,8
1970,0,17
1971,0,11
1972,0,8
1973,0,7
1974,0,12
1975,0,24
1976,5,17
1977,0,26
1978,0,17
1979,0,27
1980,0,36
1981,0,21
1982,5,45
1983,6,37
1984,0,51
1985,5,54
1986,0,60
1987,0,93
1988,0,123
1989,0,135
1990,8,131
1991,11,159
1992,7,180
1993,5,185
1994,0,242
1995,9,250
1996,5,254
1997,0,322
1998,9,378
1999,7,341
2000,6,384
2001,10,362
2002,5,367
2003,6,400
2004,7,337
2005,0,326
2006,12,292
2007,17,366
2008,8,375
2009,9,454
2010,5,387
2011,0,306
2012,0,302
2013,6,192
2014,5,152
2015,0,142
2016,0,126
2017,0,87
2018,0,65
2019,0,74
