year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,5
1926,0,5
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,7
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,11
1940,0,0
1941,0,7
1942,0,10
1943,0,7
1944,0,13
1945,0,13
1946,0,17
1947,0,17
1948,0,14
1949,0,25
1950,0,27
1951,0,26
1952,0,40
1953,0,34
1954,0,40
1955,0,41
1956,0,53
1957,0,69
1958,0,72
1959,0,75
1960,0,71
1961,0,93
1962,0,71
1963,0,100
1964,0,82
1965,0,70
1966,0,85
1967,0,89
1968,0,89
1969,0,97
1970,0,84
1971,0,87
1972,0,69
1973,0,81
1974,0,69
1975,0,68
1976,0,57
1977,0,47
1978,0,66
1979,0,61
1980,0,74
1981,0,69
1982,0,61
1983,5,65
1984,0,50
1985,0,68
1986,0,48
1987,0,48
1988,0,61
1989,0,57
1990,0,52
1991,0,41
1992,0,62
1993,0,40
1994,0,54
1995,0,48
1996,0,44
1997,0,46
1998,0,25
1999,0,49
2000,0,30
2001,0,25
2002,0,36
2003,0,33
2004,0,23
2005,0,27
2006,0,24
2007,0,23
2008,0,11
2009,0,13
2010,0,12
2011,0,9
2012,0,13
2013,0,13
2014,0,6
2015,0,9
2016,0,7
2017,0,12
2018,0,11
2019,0,0
