year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,5
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,6
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,13
1915,0,7
1916,0,10
1917,0,6
1918,0,10
1919,0,0
1920,0,6
1921,0,7
1922,0,0
1923,0,10
1924,0,12
1925,0,0
1926,0,9
1927,0,7
1928,0,0
1929,0,9
1930,0,8
1931,0,7
1932,0,0
1933,0,0
1934,0,7
1935,0,9
1936,0,7
1937,0,8
1938,0,9
1939,0,6
1940,0,6
1941,0,9
1942,0,12
1943,0,24
1944,0,8
1945,0,14
1946,0,21
1947,0,16
1948,0,28
1949,0,24
1950,0,34
1951,0,37
1952,0,54
1953,8,47
1954,7,85
1955,0,73
1956,8,63
1957,0,104
1958,13,84
1959,15,119
1960,19,141
1961,21,99
1962,16,115
1963,26,110
1964,58,121
1965,44,75
1966,67,79
1967,48,123
1968,56,112
1969,122,100
1970,118,131
1971,128,115
1972,140,98
1973,142,94
1974,112,82
1975,99,81
1976,93,59
1977,101,70
1978,106,47
1979,106,77
1980,93,70
1981,132,82
1982,97,67
1983,85,63
1984,80,77
1985,71,67
1986,68,106
1987,50,71
1988,52,86
1989,58,79
1990,40,89
1991,26,77
1992,26,57
1993,19,59
1994,24,48
1995,25,41
1996,33,49
1997,16,36
1998,20,31
1999,20,47
2000,13,34
2001,10,31
2002,22,27
2003,20,21
2004,14,23
2005,9,33
2006,11,24
2007,10,20
2008,8,17
2009,11,12
2010,5,20
2011,13,20
2012,7,12
2013,11,21
2014,12,11
2015,9,11
2016,7,19
2017,6,8
2018,0,9
2019,0,8
