year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,30
1951,0,25
1952,0,25
1953,0,29
1954,0,24
1955,0,35
1956,0,121
1957,0,99
1958,0,105
1959,0,101
1960,0,72
1961,0,66
1962,0,61
1963,0,55
1964,0,54
1965,0,56
1966,0,48
1967,0,56
1968,0,50
1969,0,82
1970,0,83
1971,0,96
1972,0,98
1973,0,74
1974,0,88
1975,0,92
1976,0,93
1977,0,129
1978,0,112
1979,0,135
1980,0,122
1981,0,113
1982,0,100
1983,0,113
1984,0,129
1985,0,121
1986,0,122
1987,0,132
1988,0,136
1989,0,137
1990,0,134
1991,0,141
1992,0,136
1993,0,143
1994,0,142
1995,0,185
1996,0,175
1997,0,148
1998,0,142
1999,0,144
2000,0,129
2001,0,139
2002,0,145
2003,0,175
2004,0,169
2005,0,196
2006,0,223
2007,0,229
2008,0,231
2009,0,253
2010,0,205
2011,0,203
2012,0,230
2013,0,195
2014,0,215
2015,0,158
2016,0,155
2017,0,147
2018,0,122
2019,0,103
