year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,9,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,6,0
1916,0,0
1917,0,0
1918,8,0
1919,8,0
1920,10,0
1921,6,0
1922,6,0
1923,0,0
1924,0,0
1925,6,0
1926,9,0
1927,0,0
1928,5,0
1929,9,0
1930,0,0
1931,0,0
1932,0,0
1933,6,0
1934,6,0
1935,0,0
1936,0,0
1937,8,0
1938,7,0
1939,8,0
1940,0,0
1941,0,0
1942,0,0
1943,7,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,8,0
1949,0,0
1950,7,0
1951,5,0
1952,0,0
1953,5,0
1954,9,0
1955,6,0
1956,6,0
1957,0,0
1958,0,0
1959,0,0
1960,7,0
1961,6,0
1962,9,0
1963,9,0
1964,0,0
1965,5,0
1966,11,0
1967,6,0
1968,11,0
1969,9,0
1970,17,0
1971,17,0
1972,17,0
1973,35,0
1974,42,0
1975,27,0
1976,30,0
1977,26,0
1978,19,0
1979,27,0
1980,33,0
1981,50,0
1982,46,0
1983,32,0
1984,31,0
1985,35,0
1986,43,0
1987,29,0
1988,41,0
1989,39,0
1990,41,0
1991,45,0
1992,64,0
1993,99,0
1994,146,0
1995,113,0
1996,133,0
1997,141,0
1998,128,0
1999,136,0
2000,137,0
2001,137,0
2002,150,0
2003,127,0
2004,126,0
2005,139,0
2006,135,0
2007,140,0
2008,189,0
2009,200,0
2010,207,0
2011,254,0
2012,289,0
2013,285,0
2014,330,0
2015,325,0
2016,323,0
2017,262,0
2018,251,0
2019,283,0
