year,F,M
1880,0,0
1881,0,0
1882,0,6
1883,0,6
1884,0,7
1885,0,5
1886,0,0
1887,0,0
1888,0,6
1889,0,0
1890,0,5
1891,0,0
1892,0,5
1893,0,5
1894,0,5
1895,0,7
1896,0,7
1897,0,0
1898,0,0
1899,0,0
1900,0,9
1901,0,0
1902,0,6
1903,0,0
1904,0,0
1905,0,5
1906,0,7
1907,0,8
1908,0,8
1909,0,6
1910,0,8
1911,0,15
1912,0,24
1913,0,10
1914,5,27
1915,0,35
1916,0,46
1917,0,42
1918,0,41
1919,0,28
1920,5,77
1921,0,61
1922,0,55
1923,0,54
1924,5,53
1925,0,37
1926,0,69
1927,0,43
1928,0,39
1929,0,42
1930,0,47
1931,0,44
1932,0,42
1933,0,32
1934,0,42
1935,0,35
1936,5,39
1937,0,39
1938,0,24
1939,0,44
1940,0,33
1941,8,44
1942,14,51
1943,9,58
1944,12,49
1945,12,63
1946,18,61
1947,19,79
1948,18,74
1949,11,95
1950,22,87
1951,23,101
1952,23,112
1953,19,137
1954,22,173
1955,34,179
1956,26,229
1957,34,278
1958,22,262
1959,32,250
1960,30,285
1961,35,323
1962,37,493
1963,43,372
1964,36,300
1965,29,324
1966,28,317
1967,58,336
1968,73,422
1969,83,483
1970,72,506
1971,63,502
1972,75,556
1973,82,513
1974,91,651
1975,90,1029
1976,97,1070
1977,103,1010
1978,132,1075
1979,136,1129
1980,150,1144
1981,173,1325
1982,200,1470
1983,158,1447
1984,219,1642
1985,199,1791
1986,193,2049
1987,258,3159
1988,301,4986
1989,271,5592
1990,317,6665
1991,301,6697
1992,309,7352
1993,329,7091
1994,347,6837
1995,403,7029
1996,456,7388
1997,850,8217
1998,1565,11417
1999,1781,12435
2000,1596,12761
2001,1319,11582
2002,1236,10338
2003,1041,9964
2004,1278,8887
2005,1241,8572
2006,1133,8855
2007,1101,8982
2008,1051,8296
2009,907,7633
2010,756,7196
2011,706,7521
2012,535,7365
2013,510,6861
2014,525,7060
2015,586,6748
2016,588,6849
2017,577,5962
2018,615,5293
2019,561,5226
