year,Boys,Girls
1880,6,0
1881,11,0
1882,12,0
1883,12,0
1884,16,0
1885,15,0
1886,14,0
1887,18,0
1888,15,0
1889,14,0
1890,22,0
1891,19,0
1892,21,0
1893,21,0
1894,24,0
1895,30,0
1896,29,0
1897,22,0
1898,31,0
1899,36,0
1900,40,0
1901,26,0
1902,23,0
1903,34,0
1904,34,0
1905,37,0
1906,32,0
1907,46,0
1908,28,0
1909,43,0
1910,46,0
1911,41,0
1912,70,0
1913,75,0
1914,88,0
1915,130,0
1916,135,0
1917,116,0
1918,170,6
1919,121,0
1920,132,0
1921,134,0
1922,139,0
1923,147,0
1924,138,0
1925,123,0
1926,107,0
1927,103,0
1928,129,0
1929,125,0
1930,114,0
1931,110,0
1932,114,0
1933,111,0
1934,83,0
1935,107,0
1936,97,0
1937,114,0
1938,108,0
1939,126,0
1940,123,0
1941,127,0
1942,127,0
1943,124,0
1944,219,0
1945,126,0
1946,144,0
1947,147,0
1948,159,0
1949,145,0
1950,155,0
1951,139,0
1952,134,0
1953,122,0
1954,144,0
1955,156,0
1956,125,0
1957,110,0
1958,131,0
1959,138,0
1960,153,0
1961,158,0
1962,141,0
1963,166,0
1964,173,0
1965,159,0
1966,145,0
1967,163,0
1968,139,0
1969,175,0
1970,153,0
1971,125,0
1972,135,0
1973,128,0
1974,123,0
1975,103,0
1976,113,0
1977,95,0
1978,140,0
1979,118,0
1980,102,0
1981,128,0
1982,124,0
1983,131,0
1984,100,0
1985,119,0
1986,110,0
1987,130,0
1988,125,0
1989,116,0
1990,105,0
1991,118,0
1992,127,0
1993,145,0
1994,132,0
1995,154,0
1996,141,0
1997,165,0
1998,166,0
1999,152,0
2000,166,0
2001,226,0
2002,212,0
2003,271,0
2004,265,0
2005,290,0
2006,330,0
2007,399,0
2008,487,0
2009,552,0
2010,590,0
2011,648,0
2012,707,0
2013,767,0
2014,892,0
2015,873,0
2016,975,0
2017,1058,0
2018,1096,0
2019,1216,0
