year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,0,5
1914,0,9
1915,0,9
1916,0,8
1917,0,9
1918,0,0
1919,0,5
1920,0,15
1921,5,7
1922,21,5
1923,8,9
1924,23,11
1925,9,7
1926,26,8
1927,18,11
1928,6,10
1929,13,0
1930,14,8
1931,12,7
1932,15,0
1933,14,11
1934,6,7
1935,6,7
1936,9,6
1937,12,6
1938,9,15
1939,15,6
1940,12,14
1941,9,9
1942,9,9
1943,8,9
1944,0,7
1945,5,8
1946,8,7
1947,9,0
1948,6,15
1949,12,0
1950,10,7
1951,5,8
1952,5,5
1953,9,7
1954,7,5
1955,6,6
1956,10,8
1957,8,8
1958,5,5
1959,0,7
1960,0,0
1961,8,0
1962,0,0
1963,8,0
1964,5,0
1965,5,0
1966,0,0
1967,6,0
1968,0,0
1969,6,0
1970,0,0
1971,7,0
1972,19,5
1973,37,0
1974,61,0
1975,40,0
1976,72,0
1977,69,0
1978,65,6
1979,73,0
1980,84,0
1981,112,8
1982,149,0
1983,158,0
1984,180,0
1985,176,0
1986,209,0
1987,221,6
1988,258,0
1989,229,5
1990,271,5
1991,498,0
1992,616,6
1993,588,0
1994,603,0
1995,618,6
1996,703,0
1997,694,0
1998,712,5
1999,602,0
2000,687,0
2001,607,0
2002,572,0
2003,537,0
2004,567,8
2005,628,0
2006,534,0
2007,563,0
2008,488,0
2009,400,0
2010,360,0
2011,291,0
2012,272,0
2013,292,0
2014,237,0
2015,234,0
2016,171,0
2017,146,0
2018,151,0
2019,131,0
