year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,5
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,6
1901,0,5
1902,0,5
1903,0,0
1904,0,6
1905,0,8
1906,0,0
1907,0,6
1908,0,14
1909,0,14
1910,0,16
1911,0,28
1912,0,47
1913,0,59
1914,0,105
1915,0,112
1916,0,127
1917,0,125
1918,0,124
1919,0,122
1920,0,143
1921,0,120
1922,0,152
1923,0,167
1924,0,150
1925,0,120
1926,0,138
1927,0,150
1928,0,145
1929,0,128
1930,0,132
1931,0,125
1932,0,84
1933,0,118
1934,0,86
1935,0,93
1936,0,76
1937,0,87
1938,0,82
1939,0,72
1940,0,59
1941,0,81
1942,0,76
1943,0,69
1944,0,74
1945,0,50
1946,0,51
1947,0,74
1948,0,82
1949,0,94
1950,0,72
1951,0,87
1952,0,82
1953,0,94
1954,0,84
1955,0,87
1956,0,86
1957,0,73
1958,0,97
1959,0,115
1960,0,127
1961,0,113
1962,6,132
1963,0,121
1964,0,117
1965,6,124
1966,0,117
1967,5,125
1968,0,124
1969,7,159
1970,13,171
1971,6,205
1972,9,205
1973,7,208
1974,5,230
1975,5,178
1976,0,205
1977,0,198
1978,5,189
1979,0,173
1980,6,170
1981,0,172
1982,0,159
1983,0,156
1984,0,175
1985,0,153
1986,0,153
1987,0,120
1988,0,140
1989,0,147
1990,0,151
1991,0,153
1992,0,133
1993,0,149
1994,0,141
1995,0,149
1996,0,153
1997,0,163
1998,0,138
1999,0,144
2000,0,172
2001,0,160
2002,0,165
2003,0,184
2004,0,177
2005,0,222
2006,0,202
2007,0,225
2008,0,195
2009,0,206
2010,0,187
2011,0,194
2012,0,174
2013,0,168
2014,0,178
2015,0,144
2016,0,181
2017,0,147
2018,0,154
2019,0,148
