year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,10
1921,0,6
1922,0,0
1923,0,0
1924,0,6
1925,0,0
1926,0,5
1927,0,0
1928,0,6
1929,0,8
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,8
1937,0,0
1938,0,8
1939,0,7
1940,0,0
1941,0,7
1942,0,0
1943,0,11
1944,0,10
1945,0,5
1946,0,6
1947,0,7
1948,0,9
1949,0,9
1950,0,0
1951,0,5
1952,0,10
1953,0,7
1954,0,12
1955,0,7
1956,0,5
1957,0,8
1958,0,5
1959,0,13
1960,0,13
1961,0,8
1962,0,0
1963,0,8
1964,0,0
1965,0,5
1966,0,0
1967,0,5
1968,0,7
1969,0,7
1970,0,7
1971,0,6
1972,0,6
1973,0,7
1974,0,15
1975,0,6
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,5
1982,0,0
1983,0,7
1984,0,6
1985,0,5
1986,0,5
1987,0,7
1988,0,11
1989,0,8
1990,0,10
1991,0,10
1992,0,11
1993,0,8
1994,0,8
1995,0,11
1996,0,6
1997,0,7
1998,0,15
1999,0,6
2000,0,15
2001,0,12
2002,0,13
2003,0,10
2004,0,13
2005,0,12
2006,0,14
2007,0,9
2008,0,11
2009,0,8
2010,0,9
2011,0,12
2012,0,9
2013,0,10
2014,0,15
2015,0,17
2016,0,19
2017,0,18
2018,0,11
2019,0,13
