year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,5
1969,5,5
1970,12,13
1971,17,26
1972,32,22
1973,28,25
1974,36,42
1975,54,32
1976,62,52
1977,72,53
1978,102,45
1979,108,41
1980,131,64
1981,158,60
1982,218,68
1983,358,163
1984,406,169
1985,416,151
1986,371,101
1987,396,120
1988,405,116
1989,482,124
1990,521,125
1991,610,102
1992,725,119
1993,1029,109
1994,2306,114
1995,3042,87
1996,2844,78
1997,3142,55
1998,3045,57
1999,3395,54
2000,3163,42
2001,3029,39
2002,2634,34
2003,2235,24
2004,2007,59
2005,1833,40
2006,1771,69
2007,1655,53
2008,1488,66
2009,1356,55
2010,1286,51
2011,1125,50
2012,1138,50
2013,1273,55
2014,1308,45
2015,1234,42
2016,1122,59
2017,1000,70
2018,866,74
2019,857,55
