year,Girls,Boys
1880,0,17
1881,0,9
1882,0,12
1883,0,10
1884,0,6
1885,0,7
1886,0,0
1887,0,5
1888,0,10
1889,0,6
1890,0,7
1891,0,6
1892,0,8
1893,0,8
1894,0,0
1895,0,6
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,5
1909,0,0
1910,0,5
1911,0,0
1912,0,0
1913,0,11
1914,0,9
1915,0,10
1916,0,19
1917,0,17
1918,0,16
1919,0,8
1920,0,16
1921,0,10
1922,0,10
1923,0,16
1924,0,9
1925,0,10
1926,0,13
1927,0,8
1928,0,10
1929,0,10
1930,0,12
1931,0,13
1932,0,5
1933,0,0
1934,0,0
1935,0,6
1936,0,0
1937,0,0
1938,0,5
1939,0,6
1940,0,8
1941,0,7
1942,0,7
1943,0,10
1944,0,9
1945,0,0
1946,0,5
1947,0,0
1948,0,13
1949,0,0
1950,0,6
1951,0,5
1952,0,0
1953,0,0
1954,0,0
1955,0,8
1956,0,6
1957,0,0
1958,0,0
1959,0,9
1960,0,8
1961,0,17
1962,0,15
1963,0,27
1964,0,78
1965,0,42
1966,0,38
1967,0,43
1968,0,20
1969,0,21
1970,0,27
1971,0,36
1972,0,19
1973,0,12
1974,0,17
1975,0,11
1976,0,20
1977,0,13
1978,0,18
1979,0,16
1980,0,11
1981,0,22
1982,0,17
1983,0,19
1984,0,24
1985,0,16
1986,0,26
1987,0,23
1988,0,27
1989,0,25
1990,0,42
1991,0,45
1992,0,44
1993,0,42
1994,0,26
1995,0,34
1996,0,42
1997,0,45
1998,0,52
1999,0,47
2000,0,60
2001,0,59
2002,0,85
2003,0,79
2004,0,95
2005,0,102
2006,0,169
2007,0,164
2008,0,213
2009,0,198
2010,0,195
2011,0,240
2012,0,218
2013,0,300
2014,0,346
2015,0,405
2016,0,448
2017,7,465
2018,0,459
2019,0,547
