year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,6,0
1889,0,0
1890,0,0
1891,8,0
1892,0,0
1893,0,0
1894,0,0
1895,7,0
1896,0,0
1897,0,0
1898,7,0
1899,6,0
1900,7,0
1901,11,0
1902,8,0
1903,0,0
1904,7,0
1905,0,0
1906,5,0
1907,10,0
1908,13,0
1909,9,0
1910,10,0
1911,9,0
1912,17,0
1913,16,0
1914,13,0
1915,11,0
1916,15,0
1917,18,0
1918,16,0
1919,29,0
1920,14,0
1921,24,0
1922,28,0
1923,20,0
1924,29,0
1925,15,0
1926,27,0
1927,23,0
1928,25,0
1929,28,0
1930,26,0
1931,27,0
1932,15,0
1933,19,0
1934,12,0
1935,21,0
1936,25,0
1937,17,0
1938,9,0
1939,16,0
1940,17,0
1941,16,0
1942,13,0
1943,17,0
1944,15,0
1945,9,0
1946,10,0
1947,10,0
1948,11,0
1949,17,0
1950,12,0
1951,10,0
1952,12,0
1953,14,0
1954,11,0
1955,8,0
1956,18,0
1957,6,0
1958,7,0
1959,15,0
1960,14,0
1961,13,0
1962,18,0
1963,15,0
1964,10,0
1965,15,0
1966,20,0
1967,7,0
1968,17,0
1969,14,0
1970,16,0
1971,18,0
1972,15,0
1973,18,0
1974,9,0
1975,7,0
1976,15,0
1977,9,0
1978,18,0
1979,11,0
1980,21,0
1981,13,0
1982,17,0
1983,14,0
1984,28,0
1985,19,0
1986,17,0
1987,16,0
1988,34,0
1989,30,0
1990,34,0
1991,56,0
1992,68,0
1993,84,0
1994,71,0
1995,80,0
1996,59,0
1997,48,0
1998,58,0
1999,56,0
2000,71,0
2001,84,0
2002,72,0
2003,63,0
2004,82,0
2005,68,0
2006,65,0
2007,52,0
2008,80,0
2009,52,0
2010,64,0
2011,56,0
2012,63,0
2013,67,0
2014,56,0
2015,62,0
2016,62,0
2017,70,0
2018,69,0
2019,83,0
