year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,5
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,5
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,5
1905,0,0
1906,0,0
1907,0,5
1908,0,5
1909,0,7
1910,0,0
1911,0,0
1912,0,9
1913,0,9
1914,0,0
1915,0,0
1916,0,10
1917,0,11
1918,0,14
1919,0,8
1920,0,5
1921,0,0
1922,0,9
1923,0,7
1924,0,9
1925,0,10
1926,0,0
1927,0,11
1928,0,7
1929,0,13
1930,0,12
1931,0,5
1932,0,6
1933,0,7
1934,0,6
1935,0,8
1936,0,9
1937,0,8
1938,0,6
1939,0,0
1940,0,0
1941,0,8
1942,0,5
1943,0,11
1944,0,9
1945,0,8
1946,0,0
1947,0,8
1948,0,8
1949,0,14
1950,0,0
1951,0,10
1952,0,7
1953,0,0
1954,0,7
1955,0,7
1956,0,0
1957,0,16
1958,0,6
1959,0,11
1960,0,0
1961,0,9
1962,0,0
1963,0,5
1964,0,7
1965,0,5
1966,0,11
1967,0,7
1968,0,9
1969,0,8
1970,0,7
1971,0,8
1972,0,11
1973,0,5
1974,0,9
1975,0,10
1976,0,7
1977,0,5
1978,0,8
1979,0,10
1980,0,10
1981,0,8
1982,0,5
1983,0,0
1984,0,0
1985,0,7
1986,0,5
1987,0,7
1988,0,11
1989,0,7
1990,0,8
1991,0,12
1992,0,9
1993,0,0
1994,0,8
1995,0,17
1996,0,0
1997,0,8
1998,0,15
1999,0,11
2000,0,7
2001,0,10
2002,0,13
2003,0,10
2004,0,11
2005,0,17
2006,0,15
2007,0,13
2008,0,12
2009,0,7
2010,0,6
2011,0,7
2012,0,8
2013,0,12
2014,0,0
2015,0,10
2016,0,5
2017,0,7
2018,0,0
2019,0,5
