year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,5
1910,0,0
1911,0,0
1912,0,5
1913,0,11
1914,0,9
1915,0,13
1916,0,9
1917,0,16
1918,0,11
1919,0,10
1920,0,24
1921,0,21
1922,0,15
1923,0,16
1924,0,20
1925,0,20
1926,0,16
1927,0,19
1928,0,14
1929,0,15
1930,0,18
1931,0,13
1932,0,6
1933,0,11
1934,0,10
1935,0,13
1936,0,11
1937,0,16
1938,0,11
1939,0,17
1940,0,15
1941,0,17
1942,0,24
1943,0,15
1944,0,21
1945,0,24
1946,0,23
1947,0,24
1948,0,17
1949,0,18
1950,0,22
1951,0,25
1952,0,24
1953,0,19
1954,0,20
1955,0,27
1956,0,20
1957,0,19
1958,0,23
1959,0,22
1960,0,20
1961,0,14
1962,0,25
1963,0,26
1964,0,30
1965,0,18
1966,0,21
1967,0,30
1968,0,26
1969,0,29
1970,0,30
1971,0,15
1972,0,31
1973,0,21
1974,0,24
1975,0,25
1976,0,23
1977,0,36
1978,0,29
1979,0,33
1980,0,34
1981,0,37
1982,0,38
1983,0,35
1984,0,27
1985,0,33
1986,0,25
1987,0,25
1988,0,29
1989,0,28
1990,0,33
1991,0,30
1992,0,28
1993,0,37
1994,0,30
1995,0,33
1996,0,27
1997,0,35
1998,0,39
1999,0,30
2000,0,25
2001,0,35
2002,0,27
2003,0,24
2004,0,14
2005,0,17
2006,0,14
2007,0,28
2008,0,20
2009,0,16
2010,0,17
2011,0,18
2012,0,15
2013,0,12
2014,0,18
2015,0,13
2016,0,22
2017,0,13
2018,0,8
2019,0,12
