year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,6,0
1899,0,0
1900,6,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,5,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,7,0
1914,7,0
1915,14,0
1916,17,0
1917,17,0
1918,15,0
1919,17,0
1920,19,0
1921,23,0
1922,18,0
1923,12,0
1924,18,0
1925,18,0
1926,14,0
1927,8,0
1928,16,0
1929,9,0
1930,13,0
1931,13,0
1932,13,0
1933,8,0
1934,14,0
1935,12,0
1936,6,0
1937,10,0
1938,6,0
1939,13,0
1940,11,0
1941,10,0
1942,14,0
1943,6,0
1944,6,0
1945,8,0
1946,10,0
1947,9,0
1948,11,0
1949,6,0
1950,10,0
1951,8,0
1952,8,0
1953,8,0
1954,6,0
1955,8,0
1956,13,0
1957,6,0
1958,7,0
1959,8,0
1960,7,0
1961,0,0
1962,10,0
1963,7,0
1964,0,0
1965,0,0
1966,6,0
1967,5,0
1968,0,0
1969,6,0
1970,0,0
1971,9,0
1972,7,0
1973,7,0
1974,9,0
1975,5,0
1976,5,0
1977,7,0
1978,0,0
1979,6,0
1980,9,0
1981,6,0
1982,6,0
1983,0,0
1984,7,0
1985,5,0
1986,5,0
1987,0,0
1988,0,0
1989,7,0
1990,0,0
1991,0,0
1992,8,0
1993,8,0
1994,0,0
1995,0,0
1996,8,0
1997,0,0
1998,0,0
1999,0,0
2000,5,0
2001,0,0
2002,0,0
2003,9,0
2004,0,0
2005,7,0
2006,0,0
2007,7,0
2008,10,0
2009,13,0
2010,7,0
2011,11,0
2012,6,0
2013,0,0
2014,9,0
2015,12,0
2016,10,0
2017,12,0
2018,13,0
2019,14,0
