year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,6
1915,0,9
1916,0,5
1917,0,9
1918,0,8
1919,0,9
1920,0,12
1921,0,13
1922,0,0
1923,0,12
1924,0,9
1925,0,9
1926,0,9
1927,0,12
1928,0,15
1929,0,10
1930,0,7
1931,0,8
1932,0,6
1933,0,9
1934,0,0
1935,0,6
1936,0,0
1937,0,10
1938,0,8
1939,0,7
1940,0,0
1941,0,9
1942,0,6
1943,0,13
1944,0,8
1945,0,7
1946,0,21
1947,0,17
1948,0,19
1949,0,12
1950,0,16
1951,0,12
1952,0,12
1953,0,8
1954,0,14
1955,0,25
1956,0,16
1957,0,14
1958,0,15
1959,0,12
1960,0,11
1961,0,15
1962,0,20
1963,0,34
1964,0,37
1965,0,61
1966,0,98
1967,0,143
1968,0,182
1969,0,250
1970,0,370
1971,0,566
1972,5,619
1973,0,565
1974,0,609
1975,7,707
1976,0,619
1977,5,587
1978,0,521
1979,0,550
1980,0,426
1981,0,392
1982,0,371
1983,0,309
1984,0,309
1985,0,282
1986,0,303
1987,5,383
1988,0,336
1989,0,328
1990,0,282
1991,0,243
1992,0,213
1993,0,174
1994,0,142
1995,0,157
1996,0,127
1997,0,124
1998,0,97
1999,0,101
2000,0,79
2001,0,82
2002,0,78
2003,0,77
2004,0,75
2005,0,57
2006,0,50
2007,0,46
2008,0,43
2009,0,47
2010,0,33
2011,0,34
2012,0,34
2013,0,32
2014,0,32
2015,0,39
2016,0,18
2017,0,28
2018,0,37
2019,0,20
