year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,5
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,5
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,0,6
1914,0,13
1915,0,5
1916,0,0
1917,0,11
1918,0,7
1919,0,7
1920,0,5
1921,0,7
1922,0,12
1923,0,5
1924,0,10
1925,0,13
1926,0,10
1927,0,7
1928,0,15
1929,0,7
1930,0,16
1931,0,12
1932,0,9
1933,0,7
1934,0,6
1935,0,8
1936,0,14
1937,0,12
1938,0,5
1939,0,7
1940,0,10
1941,0,11
1942,0,8
1943,0,12
1944,6,12
1945,0,6
1946,0,7
1947,0,16
1948,0,9
1949,5,9
1950,0,13
1951,0,15
1952,0,16
1953,5,17
1954,0,18
1955,0,14
1956,0,12
1957,0,21
1958,0,19
1959,0,19
1960,0,24
1961,0,17
1962,0,27
1963,0,13
1964,0,20
1965,0,22
1966,7,14
1967,0,15
1968,0,15
1969,0,19
1970,0,19
1971,0,20
1972,0,12
1973,0,12
1974,0,18
1975,6,12
1976,0,13
1977,5,9
1978,0,8
1979,5,10
1980,0,6
1981,0,8
1982,0,9
1983,0,0
1984,5,8
1985,0,5
1986,5,9
1987,6,0
1988,0,7
1989,0,11
1990,8,0
1991,7,0
1992,6,7
1993,0,7
1994,6,0
1995,0,5
1996,0,8
1997,7,0
1998,0,0
1999,0,0
2000,5,0
2001,0,0
2002,5,0
2003,0,0
2004,9,0
2005,0,0
2006,0,0
2007,8,0
2008,0,0
2009,5,0
2010,0,5
2011,0,0
2012,0,0
2013,6,0
2014,0,0
2015,0,0
2016,5,0
2017,0,0
2018,0,0
2019,0,0
