year,F,M
1880,0,5
1881,0,7
1882,0,6
1883,0,0
1884,0,6
1885,0,6
1886,0,6
1887,0,0
1888,0,5
1889,0,5
1890,0,7
1891,0,6
1892,0,0
1893,0,5
1894,0,11
1895,0,0
1896,0,8
1897,0,8
1898,0,9
1899,0,7
1900,0,0
1901,0,7
1902,0,10
1903,0,7
1904,0,6
1905,0,9
1906,0,6
1907,0,9
1908,0,5
1909,0,7
1910,0,12
1911,0,0
1912,0,10
1913,0,11
1914,0,29
1915,0,36
1916,0,32
1917,0,35
1918,0,42
1919,0,34
1920,0,42
1921,5,36
1922,0,37
1923,0,48
1924,0,39
1925,0,34
1926,0,31
1927,0,35
1928,0,37
1929,0,39
1930,0,44
1931,0,20
1932,0,25
1933,0,22
1934,0,32
1935,0,29
1936,0,21
1937,0,28
1938,0,26
1939,0,23
1940,0,32
1941,0,16
1942,0,25
1943,0,36
1944,0,32
1945,0,29
1946,0,29
1947,0,21
1948,0,19
1949,0,24
1950,0,20
1951,0,23
1952,0,21
1953,0,28
1954,0,30
1955,0,14
1956,0,19
1957,0,19
1958,0,17
1959,0,27
1960,0,19
1961,0,15
1962,5,17
1963,0,18
1964,0,15
1965,0,17
1966,0,16
1967,7,16
1968,0,9
1969,6,9
1970,5,14
1971,6,18
1972,0,13
1973,6,0
1974,8,10
1975,8,18
1976,6,19
1977,7,17
1978,18,25
1979,7,27
1980,17,22
1981,15,14
1982,16,17
1983,20,25
1984,16,18
1985,17,18
1986,16,11
1987,17,12
1988,25,12
1989,32,16
1990,25,16
1991,16,16
1992,22,10
1993,20,9
1994,23,10
1995,26,11
1996,12,9
1997,12,12
1998,10,14
1999,9,6
2000,10,10
2001,8,10
2002,5,11
2003,6,5
2004,7,6
2005,11,13
2006,10,0
2007,5,0
2008,8,0
2009,10,10
2010,0,13
2011,0,6
2012,10,10
2013,8,11
2014,10,10
2015,6,8
2016,0,8
2017,8,0
2018,7,0
2019,7,0
