year,Boys,Girls
1880,65,0
1881,82,0
1882,64,0
1883,69,0
1884,83,0
1885,107,0
1886,98,0
1887,92,0
1888,114,0
1889,142,0
1890,139,0
1891,124,0
1892,127,0
1893,139,0
1894,121,0
1895,126,0
1896,118,0
1897,120,0
1898,131,0
1899,112,0
1900,132,0
1901,110,0
1902,111,0
1903,90,0
1904,123,0
1905,118,0
1906,120,0
1907,128,0
1908,118,0
1909,120,0
1910,130,0
1911,148,0
1912,202,0
1913,216,0
1914,291,0
1915,339,0
1916,346,0
1917,361,0
1918,346,0
1919,386,0
1920,384,0
1921,383,0
1922,372,0
1923,357,0
1924,385,0
1925,375,0
1926,349,0
1927,342,0
1928,371,0
1929,333,6
1930,317,0
1931,292,0
1932,251,0
1933,271,0
1934,284,0
1935,274,0
1936,253,0
1937,250,0
1938,291,0
1939,262,0
1940,344,0
1941,373,0
1942,433,0
1943,581,0
1944,759,0
1945,775,0
1946,964,0
1947,1285,0
1948,1494,5
1949,1831,0
1950,1726,0
1951,1960,0
1952,2169,0
1953,1772,0
1954,1387,0
1955,1811,5
1956,2114,0
1957,2250,9
1958,2307,6
1959,2348,5
1960,2710,5
1961,3467,7
1962,3628,10
1963,4024,12
1964,4701,9
1965,4974,9
1966,5343,19
1967,6601,22
1968,8012,31
1969,9323,38
1970,9586,39
1971,9914,33
1972,10171,36
1973,10888,48
1974,10848,51
1975,12976,48
1976,14034,53
1977,14497,53
1978,16371,85
1979,16455,61
1980,16140,70
1981,14396,67
1982,14516,67
1983,15360,68
1984,14705,87
1985,16597,86
1986,14381,91
1987,13816,85
1988,12956,94
1989,13138,129
1990,11926,59
1991,10568,55
1992,9439,50
1993,8289,59
1994,7668,43
1995,6953,20
1996,5803,27
1997,5181,13
1998,4533,19
1999,4296,13
2000,4328,10
2001,3741,10
2002,3389,16
2003,3112,8
2004,2734,10
2005,2452,9
2006,2228,7
2007,2021,7
2008,1676,0
2009,1469,0
2010,1285,0
2011,1181,0
2012,1124,6
2013,1068,0
2014,1022,0
2015,979,0
2016,847,0
2017,780,0
2018,723,0
2019,590,0
