year,F,M
1880,1226,8
1881,1242,5
1882,1490,0
1883,1548,9
1884,1852,12
1885,1910,6
1886,1916,15
1887,1984,9
1888,2230,10
1889,2319,9
1890,2496,0
1891,2360,10
1892,2661,12
1893,2532,9
1894,2603,9
1895,2613,11
1896,2582,14
1897,2454,0
1898,2731,0
1899,2441,7
1900,2826,12
1901,2319,16
1902,2432,8
1903,2342,10
1904,2281,13
1905,2397,8
1906,2228,11
1907,2319,12
1908,2352,12
1909,2403,12
1910,2665,13
1911,2691,11
1912,3480,12
1913,3633,9
1914,4240,15
1915,5285,20
1916,5544,20
1917,5626,17
1918,5778,22
1919,5404,17
1920,5470,16
1921,5606,21
1922,5126,18
1923,5134,15
1924,4990,18
1925,4775,22
1926,4463,22
1927,4367,21
1928,4103,26
1929,4148,30
1930,4124,32
1931,3899,29
1932,3563,28
1933,3413,18
1934,3222,22
1935,3067,14
1936,2683,21
1937,2573,18
1938,2663,16
1939,2451,16
1940,2316,11
1941,2299,12
1942,2247,9
1943,2083,14
1944,1932,7
1945,1799,0
1946,1914,11
1947,1934,0
1948,1793,7
1949,1711,5
1950,1571,6
1951,1549,0
1952,1512,0
1953,1383,6
1954,1184,0
1955,1299,5
1956,1147,10
1957,1109,0
1958,1032,0
1959,981,5
1960,914,0
1961,879,0
1962,798,0
1963,750,5
1964,698,0
1965,569,0
1966,551,0
1967,513,5
1968,415,0
1969,416,0
1970,358,0
1971,338,5
1972,367,0
1973,332,0
1974,317,0
1975,338,0
1976,314,0
1977,297,0
1978,287,0
1979,342,0
1980,392,7
1981,320,0
1982,326,0
1983,310,5
1984,319,0
1985,357,0
1986,388,0
1987,406,0
1988,419,0
1989,425,6
1990,467,5
1991,528,0
1992,536,0
1993,594,0
1994,590,0
1995,660,0
1996,668,0
1997,654,0
1998,767,0
1999,792,0
2000,875,0
2001,956,0
2002,1026,0
2003,1055,0
2004,1164,0
2005,1326,0
2006,1495,5
2007,1549,0
2008,1650,0
2009,1648,0
2010,1842,0
2011,2074,7
2012,2333,0
2013,2505,0
2014,2856,0
2015,3066,0
2016,3073,5
2017,3039,0
2018,2889,0
2019,2929,5
