year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,5
1910,0,0
1911,0,0
1912,0,0
1913,0,9
1914,0,6
1915,0,12
1916,0,7
1917,0,12
1918,0,11
1919,0,15
1920,0,19
1921,0,25
1922,0,28
1923,0,20
1924,0,29
1925,0,21
1926,0,20
1927,0,15
1928,0,16
1929,0,17
1930,0,20
1931,0,29
1932,0,20
1933,0,11
1934,0,14
1935,0,18
1936,0,15
1937,0,19
1938,0,18
1939,0,17
1940,0,17
1941,0,12
1942,0,15
1943,0,12
1944,0,18
1945,0,15
1946,0,18
1947,0,30
1948,0,18
1949,0,21
1950,0,26
1951,0,17
1952,0,24
1953,0,26
1954,0,17
1955,0,21
1956,0,33
1957,0,41
1958,0,28
1959,0,35
1960,0,37
1961,0,51
1962,0,52
1963,0,46
1964,0,48
1965,0,40
1966,0,50
1967,0,64
1968,0,59
1969,0,60
1970,0,76
1971,0,59
1972,0,70
1973,0,55
1974,0,70
1975,0,65
1976,0,55
1977,0,59
1978,5,84
1979,0,75
1980,0,83
1981,0,85
1982,0,59
1983,0,57
1984,6,67
1985,6,80
1986,0,66
1987,0,77
1988,0,66
1989,0,76
1990,10,69
1991,0,72
1992,0,96
1993,0,96
1994,0,97
1995,0,73
1996,0,116
1997,0,100
1998,0,101
1999,0,111
2000,0,101
2001,0,107
2002,0,110
2003,0,97
2004,0,100
2005,0,81
2006,0,112
2007,0,90
2008,0,108
2009,0,80
2010,0,53
2011,0,63
2012,0,52
2013,0,54
2014,0,58
2015,0,55
2016,0,33
2017,0,50
2018,0,51
2019,0,44
