year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,5,0
1884,0,0
1885,0,0
1886,5,0
1887,0,0
1888,7,0
1889,7,0
1890,7,0
1891,0,0
1892,5,0
1893,6,0
1894,5,0
1895,10,0
1896,6,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,5,0
1902,0,0
1903,5,0
1904,9,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,5,0
1911,8,0
1912,0,0
1913,0,0
1914,0,0
1915,8,0
1916,6,0
1917,16,0
1918,12,5
1919,10,0
1920,7,0
1921,10,0
1922,8,0
1923,11,0
1924,9,0
1925,0,0
1926,8,0
1927,6,0
1928,0,0
1929,9,0
1930,11,0
1931,13,0
1932,6,0
1933,5,0
1934,5,0
1935,5,0
1936,5,0
1937,10,0
1938,0,0
1939,8,0
1940,8,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,6,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,5,0
1953,5,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,5,0
1986,5,0
1987,6,0
1988,5,0
1989,8,0
1990,17,0
1991,27,0
1992,23,0
1993,23,0
1994,16,0
1995,36,0
1996,47,0
1997,47,0
1998,62,0
1999,96,0
2000,142,0
2001,145,0
2002,180,0
2003,202,0
2004,213,0
2005,263,0
2006,276,0
2007,276,0
2008,300,0
2009,201,0
2010,131,0
2011,97,0
2012,84,0
2013,62,0
2014,61,0
2015,51,0
2016,56,0
2017,49,0
2018,36,0
2019,34,0
