year,Boys,Girls
1880,0,0
1881,0,8
1882,0,0
1883,0,9
1884,0,0
1885,0,5
1886,0,5
1887,0,0
1888,0,6
1889,0,7
1890,0,0
1891,0,9
1892,0,0
1893,0,0
1894,0,7
1895,0,7
1896,0,5
1897,0,0
1898,0,5
1899,0,7
1900,0,16
1901,0,7
1902,0,7
1903,0,6
1904,0,11
1905,0,6
1906,0,11
1907,0,14
1908,0,12
1909,0,10
1910,0,10
1911,0,10
1912,0,12
1913,0,31
1914,0,47
1915,0,47
1916,0,25
1917,0,30
1918,0,34
1919,0,34
1920,0,41
1921,0,43
1922,0,43
1923,0,37
1924,0,28
1925,0,21
1926,0,43
1927,0,29
1928,0,26
1929,0,18
1930,0,19
1931,0,21
1932,0,29
1933,0,31
1934,0,25
1935,0,26
1936,0,25
1937,0,21
1938,0,24
1939,0,24
1940,0,32
1941,0,24
1942,0,21
1943,0,28
1944,0,31
1945,0,21
1946,0,35
1947,0,27
1948,0,26
1949,0,39
1950,0,31
1951,0,23
1952,0,29
1953,0,48
1954,0,42
1955,0,26
1956,0,25
1957,0,30
1958,0,23
1959,0,20
1960,0,31
1961,0,20
1962,0,19
1963,0,27
1964,0,22
1965,0,21
1966,0,16
1967,0,11
1968,0,12
1969,0,16
1970,0,11
1971,0,30
1972,0,13
1973,0,15
1974,0,17
1975,0,19
1976,0,11
1977,0,19
1978,0,20
1979,0,27
1980,0,23
1981,0,31
1982,6,22
1983,6,20
1984,0,26
1985,0,28
1986,0,30
1987,0,39
1988,6,28
1989,0,31
1990,0,35
1991,0,24
1992,0,30
1993,0,26
1994,0,27
1995,0,25
1996,0,28
1997,0,38
1998,0,21
1999,0,33
2000,0,34
2001,0,33
2002,0,29
2003,7,22
2004,5,28
2005,0,35
2006,0,31
2007,0,33
2008,6,26
2009,7,30
2010,116,57
2011,177,60
2012,265,44
2013,248,44
2014,329,53
2015,405,52
2016,452,45
2017,494,52
2018,606,57
2019,763,48
