year,Girls,Boys
1880,0,11
1881,0,14
1882,0,14
1883,0,10
1884,0,9
1885,0,11
1886,0,6
1887,0,10
1888,0,11
1889,0,9
1890,0,6
1891,0,19
1892,0,10
1893,0,7
1894,0,6
1895,0,11
1896,0,6
1897,0,7
1898,0,9
1899,0,0
1900,0,9
1901,0,9
1902,0,0
1903,0,0
1904,0,7
1905,0,0
1906,0,7
1907,0,5
1908,0,5
1909,0,0
1910,0,9
1911,0,6
1912,0,19
1913,0,18
1914,0,21
1915,0,27
1916,0,31
1917,0,24
1918,0,28
1919,0,29
1920,0,37
1921,0,35
1922,0,27
1923,0,24
1924,0,33
1925,0,18
1926,0,28
1927,0,19
1928,0,31
1929,0,22
1930,0,13
1931,0,13
1932,0,24
1933,0,19
1934,0,15
1935,0,13
1936,0,18
1937,0,19
1938,0,10
1939,0,20
1940,0,16
1941,0,17
1942,0,13
1943,0,15
1944,0,17
1945,0,22
1946,0,14
1947,0,21
1948,0,8
1949,0,15
1950,0,14
1951,0,10
1952,0,10
1953,0,14
1954,0,13
1955,0,20
1956,0,15
1957,0,6
1958,0,8
1959,0,0
1960,0,12
1961,0,8
1962,0,8
1963,0,7
1964,0,5
1965,0,5
1966,0,5
1967,0,9
1968,0,6
1969,0,0
1970,0,6
1971,0,8
1972,0,0
1973,0,7
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,6
1981,0,6
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,6
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
