year,Girls,Boys
1880,0,64
1881,0,51
1882,0,62
1883,0,49
1884,0,50
1885,0,41
1886,0,56
1887,0,40
1888,0,60
1889,0,40
1890,0,43
1891,0,39
1892,0,47
1893,0,43
1894,0,41
1895,0,42
1896,0,38
1897,0,34
1898,0,44
1899,0,40
1900,0,45
1901,0,28
1902,0,47
1903,0,31
1904,0,37
1905,0,37
1906,0,35
1907,0,39
1908,0,48
1909,0,50
1910,0,41
1911,0,53
1912,0,65
1913,0,103
1914,0,110
1915,0,135
1916,0,134
1917,0,145
1918,0,152
1919,0,164
1920,0,144
1921,0,151
1922,0,187
1923,0,178
1924,0,151
1925,0,154
1926,0,148
1927,0,139
1928,0,145
1929,0,129
1930,0,116
1931,0,111
1932,0,108
1933,0,104
1934,0,108
1935,0,94
1936,0,90
1937,0,109
1938,0,99
1939,0,92
1940,0,84
1941,0,98
1942,0,92
1943,0,95
1944,0,95
1945,0,74
1946,0,73
1947,0,90
1948,0,82
1949,0,83
1950,0,86
1951,0,74
1952,0,73
1953,0,63
1954,0,74
1955,0,71
1956,0,61
1957,0,61
1958,0,59
1959,0,56
1960,0,53
1961,0,57
1962,0,31
1963,0,32
1964,0,31
1965,0,38
1966,0,28
1967,0,32
1968,0,30
1969,0,28
1970,0,27
1971,0,33
1972,0,29
1973,0,30
1974,0,20
1975,0,17
1976,0,25
1977,0,22
1978,0,29
1979,0,16
1980,0,25
1981,0,18
1982,0,22
1983,0,17
1984,0,14
1985,0,12
1986,0,13
1987,0,12
1988,0,10
1989,0,16
1990,0,13
1991,0,12
1992,0,14
1993,0,13
1994,0,9
1995,0,9
1996,0,5
1997,0,13
1998,0,5
1999,0,10
2000,0,12
2001,0,6
2002,0,7
2003,0,6
2004,0,13
2005,0,0
2006,0,7
2007,0,8
2008,0,5
2009,0,5
2010,0,0
2011,0,9
2012,0,6
2013,0,0
2014,0,9
2015,0,0
2016,0,7
2017,0,5
2018,0,6
2019,0,7
