year,Girls,Boys
1880,0,0
1881,0,0
1882,0,5
1883,0,0
1884,0,0
1885,0,5
1886,0,6
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,7
1893,0,0
1894,0,6
1895,0,5
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,11
1901,0,0
1902,0,6
1903,0,5
1904,0,5
1905,0,12
1906,0,7
1907,0,7
1908,0,5
1909,0,0
1910,0,12
1911,0,9
1912,0,15
1913,0,18
1914,0,29
1915,0,44
1916,0,45
1917,0,38
1918,0,39
1919,0,36
1920,0,36
1921,0,39
1922,0,42
1923,0,38
1924,0,55
1925,0,44
1926,0,42
1927,0,47
1928,0,38
1929,0,48
1930,0,47
1931,0,42
1932,0,45
1933,0,43
1934,0,50
1935,0,35
1936,0,34
1937,0,28
1938,0,37
1939,0,51
1940,0,33
1941,0,37
1942,0,41
1943,0,41
1944,0,53
1945,0,37
1946,0,53
1947,0,39
1948,0,51
1949,0,51
1950,0,36
1951,0,39
1952,0,29
1953,0,38
1954,0,36
1955,0,31
1956,0,23
1957,0,28
1958,0,32
1959,0,22
1960,0,20
1961,0,17
1962,0,20
1963,5,33
1964,0,17
1965,0,23
1966,0,17
1967,0,23
1968,0,30
1969,0,19
1970,0,22
1971,0,16
1972,0,21
1973,0,27
1974,0,12
1975,0,16
1976,0,22
1977,0,8
1978,0,12
1979,0,13
1980,0,10
1981,0,17
1982,0,20
1983,0,17
1984,0,12
1985,0,9
1986,0,21
1987,0,12
1988,0,16
1989,0,14
1990,0,15
1991,5,18
1992,0,19
1993,0,20
1994,9,22
1995,10,26
1996,0,18
1997,10,24
1998,8,21
1999,5,31
2000,0,28
2001,5,23
2002,9,31
2003,7,33
2004,9,22
2005,11,25
2006,8,26
2007,14,38
2008,9,40
2009,12,46
2010,12,68
2011,21,77
2012,14,70
2013,19,58
2014,17,71
2015,18,75
2016,27,76
2017,32,71
2018,14,53
2019,41,59
