year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,7,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,6,0
1923,0,0
1924,5,0
1925,10,0
1926,5,0
1927,0,0
1928,7,0
1929,5,0
1930,9,0
1931,10,0
1932,11,0
1933,7,0
1934,9,0
1935,8,0
1936,13,0
1937,9,0
1938,6,0
1939,9,0
1940,11,0
1941,0,0
1942,8,0
1943,8,0
1944,13,0
1945,5,0
1946,11,0
1947,12,0
1948,0,0
1949,0,0
1950,9,0
1951,7,0
1952,14,0
1953,10,0
1954,6,0
1955,5,0
1956,8,0
1957,8,0
1958,8,0
1959,6,0
1960,5,0
1961,7,0
1962,6,0
1963,0,0
1964,7,0
1965,9,0
1966,0,0
1967,6,0
1968,0,0
1969,0,0
1970,0,0
1971,7,0
1972,5,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,5,0
1980,0,0
1981,0,0
1982,0,0
1983,5,0
1984,0,0
1985,5,0
1986,5,0
1987,6,0
1988,5,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,7,0
1995,6,0
1996,8,0
1997,0,0
1998,10,0
1999,9,0
2000,5,0
2001,5,0
2002,10,0
2003,14,0
2004,13,0
2005,6,0
2006,9,0
2007,10,0
2008,19,0
2009,17,0
2010,26,0
2011,34,0
2012,47,0
2013,55,0
2014,52,0
2015,49,0
2016,51,0
2017,47,0
2018,41,0
2019,43,0
