year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,6
1911,0,7
1912,0,11
1913,0,28
1914,0,23
1915,0,31
1916,0,28
1917,0,35
1918,0,43
1919,0,42
1920,0,40
1921,0,54
1922,0,40
1923,0,47
1924,0,48
1925,0,50
1926,0,50
1927,0,45
1928,0,43
1929,0,35
1930,0,39
1931,0,31
1932,0,35
1933,0,32
1934,0,21
1935,0,26
1936,0,25
1937,0,26
1938,0,25
1939,0,26
1940,0,11
1941,0,29
1942,0,31
1943,0,25
1944,0,13
1945,0,8
1946,0,13
1947,0,22
1948,0,21
1949,0,18
1950,0,16
1951,0,22
1952,0,20
1953,0,24
1954,0,17
1955,0,15
1956,0,28
1957,0,19
1958,0,16
1959,0,14
1960,0,17
1961,0,13
1962,0,13
1963,0,16
1964,0,13
1965,0,8
1966,0,13
1967,0,11
1968,0,6
1969,0,11
1970,0,20
1971,0,14
1972,0,17
1973,0,14
1974,0,15
1975,0,10
1976,0,8
1977,0,6
1978,0,8
1979,0,16
1980,0,6
1981,0,12
1982,0,17
1983,0,12
1984,0,11
1985,0,11
1986,0,12
1987,0,6
1988,0,8
1989,0,13
1990,0,12
1991,0,11
1992,0,14
1993,0,15
1994,0,27
1995,0,16
1996,0,20
1997,0,20
1998,0,19
1999,0,18
2000,0,22
2001,0,22
2002,0,29
2003,0,22
2004,0,26
2005,0,41
2006,0,33
2007,0,19
2008,0,22
2009,0,18
2010,0,25
2011,0,22
2012,0,16
2013,0,20
2014,0,14
2015,0,30
2016,0,21
2017,0,41
2018,0,40
2019,0,49
