year,Girls,Boys
1880,0,8
1881,0,12
1882,0,15
1883,0,10
1884,0,10
1885,0,8
1886,0,15
1887,0,14
1888,0,11
1889,0,11
1890,0,0
1891,0,16
1892,0,13
1893,0,12
1894,0,11
1895,0,11
1896,0,20
1897,0,12
1898,0,14
1899,0,9
1900,0,23
1901,0,14
1902,0,11
1903,0,8
1904,0,15
1905,0,20
1906,0,13
1907,0,12
1908,0,19
1909,0,12
1910,0,20
1911,0,26
1912,0,36
1913,0,42
1914,0,50
1915,0,66
1916,0,66
1917,0,84
1918,0,82
1919,0,79
1920,0,62
1921,0,77
1922,0,68
1923,0,64
1924,0,88
1925,0,62
1926,0,55
1927,0,54
1928,0,50
1929,0,63
1930,0,73
1931,0,58
1932,0,48
1933,0,55
1934,0,41
1935,0,41
1936,0,36
1937,0,39
1938,0,33
1939,0,35
1940,0,54
1941,0,46
1942,0,44
1943,0,35
1944,0,49
1945,0,36
1946,0,36
1947,0,40
1948,0,46
1949,0,50
1950,0,55
1951,0,55
1952,0,41
1953,0,30
1954,0,56
1955,0,38
1956,0,31
1957,0,32
1958,0,40
1959,0,27
1960,0,35
1961,0,35
1962,0,35
1963,0,30
1964,0,21
1965,0,25
1966,0,28
1967,0,21
1968,0,17
1969,0,18
1970,0,15
1971,0,17
1972,0,14
1973,0,20
1974,0,16
1975,0,16
1976,0,12
1977,0,14
1978,0,10
1979,0,14
1980,0,15
1981,0,18
1982,0,13
1983,0,15
1984,0,21
1985,0,10
1986,0,16
1987,0,18
1988,0,11
1989,0,19
1990,0,18
1991,0,13
1992,0,15
1993,0,14
1994,0,15
1995,0,12
1996,0,24
1997,0,20
1998,0,19
1999,0,29
2000,0,20
2001,0,18
2002,0,12
2003,0,27
2004,0,31
2005,0,18
2006,0,19
2007,0,27
2008,0,33
2009,0,22
2010,0,29
2011,0,33
2012,7,42
2013,0,36
2014,6,61
2015,6,63
2016,0,57
2017,0,51
2018,0,69
2019,0,69
